,Unnamed: 0,City,Zip Code,Walk Score,Transit Score,Bike Score,Population,State,Walkability,Public Transportation,Bikeability
1439,3,Hattiesburg,,36,0,51,45989,MS,Car Dependent,Minimal,Bikeable
1440,4,Biloxi,39531.0,31,0,44,44054,MS,Car Dependent,Minimal,Somewhat Bikeable
1441,5,Meridian,,29,0,33,41148,MS,Car Dependent,Minimal,Somewhat Bikeable
1442,6,Tupelo,,21,0,35,34546,MS,Car Dependent,Minimal,Somewhat Bikeable
1443,7,Greenville,,33,0,47,34400,MS,Car Dependent,Minimal,Somewhat Bikeable
1444,8,Olive Branch,,14,0,29,33484,MS,Car Dependent,Minimal,Somewhat Bikeable
1445,9,Horn Lake,38637.0,23,0,33,26066,MS,Car Dependent,Minimal,Somewhat Bikeable
1446,10,Clinton,,21,0,34,25216,MS,Car Dependent,Minimal,Somewhat Bikeable
1447,11,Pearl,,20,0,35,25092,MS,Car Dependent,Minimal,Somewhat Bikeable
1448,12,Madison,,8,0,29,24149,MS,Car Dependent,Minimal,Somewhat Bikeable
1449,13,Ridgeland,,31,0,45,24047,MS,Car Dependent,Minimal,Somewhat Bikeable
1450,14,Starkville,,28,0,38,23888,MS,Car Dependent,Minimal,Somewhat Bikeable
1451,15,Vicksburg,,21,0,25,23856,MS,Car Dependent,Minimal,Somewhat Bikeable
1452,16,Columbus,,36,0,45,23640,MS,Car Dependent,Minimal,Somewhat Bikeable
1453,17,Pascagoula,39567.0,34,0,46,22392,MS,Car Dependent,Minimal,Somewhat Bikeable
1454,18,Brandon,,11,0,29,21705,MS,Car Dependent,Minimal,Somewhat Bikeable
1455,19,Oxford,,24,0,37,18916,MS,Car Dependent,Minimal,Somewhat Bikeable
1456,20,Gautier,39553.0,10,0,34,18572,MS,Car Dependent,Minimal,Somewhat Bikeable
1457,21,Laurel,,34,0,41,18540,MS,Car Dependent,Minimal,Somewhat Bikeable
1458,22,Clarksdale,,33,0,46,17962,MS,Car Dependent,Minimal,Somewhat Bikeable
1459,23,Ocean Springs,,25,0,41,17442,MS,Car Dependent,Minimal,Somewhat Bikeable
1460,0,Kansas City,64114.0,35,29,35,459787,MO,Car Dependent,Some Transit,Somewhat Bikeable
1461,1,St. Louis,63116.0,65,45,62,319294,MO,Somewhat Walkable,Some Transit,Bikeable
1462,2,Springfield,65804.0,38,0,53,159498,MO,Car Dependent,Minimal,Bikeable
1463,3,Independence,64055.0,26,20,28,116830,MO,Car Dependent,Minimal,Somewhat Bikeable
1464,4,Columbia,,31,0,40,108500,MO,Car Dependent,Minimal,Somewhat Bikeable
1465,5,Lee's Summit,64081.0,20,0,29,91364,MO,Car Dependent,Minimal,Somewhat Bikeable
1466,6,O'Fallon,,21,0,29,79329,MO,Car Dependent,Minimal,Somewhat Bikeable
1467,7,St. Joseph,64506.0,33,0,31,76780,MO,Car Dependent,Minimal,Somewhat Bikeable
1468,8,St. Charles,,32,0,32,65794,MO,Car Dependent,Minimal,Somewhat Bikeable
1469,9,St. Peters,,26,0,37,52575,MO,Car Dependent,Minimal,Somewhat Bikeable
1470,10,Blue Springs,,27,0,33,52575,MO,Car Dependent,Minimal,Somewhat Bikeable
1471,11,Florissant,,38,29,41,52158,MO,Car Dependent,Some Transit,Somewhat Bikeable
1472,12,Joplin,,36,0,44,50150,MO,Car Dependent,Minimal,Somewhat Bikeable
1473,13,Chesterfield,63017.0,19,20,23,47484,MO,Car Dependent,Minimal,Somewhat Bikeable
1474,14,Jefferson City,,26,0,23,43079,MO,Car Dependent,Minimal,Somewhat Bikeable
1475,15,Cape Girardeau,63703.0,31,0,31,37941,MO,Car Dependent,Minimal,Somewhat Bikeable
1476,16,Oakville,,14,9,20,36143,MO,Car Dependent,Minimal,Somewhat Bikeable
1477,17,Wildwood,63040.0,10,0,17,35517,MO,Car Dependent,Minimal,Somewhat Bikeable
1478,18,University City,63130.0,59,40,53,35371,MO,Somewhat Walkable,Some Transit,Bikeable
1479,19,Ballwin,,20,17,24,30404,MO,Car Dependent,Minimal,Somewhat Bikeable
1480,20,Raytown,,28,13,31,29526,MO,Car Dependent,Minimal,Somewhat Bikeable
1481,21,Liberty,,22,0,25,29149,MO,Car Dependent,Minimal,Somewhat Bikeable
1482,22,Wentzville,,11,0,23,29070,MO,Car Dependent,Minimal,Somewhat Bikeable
1483,23,Mehlville,,31,28,31,28380,MO,Car Dependent,Some Transit,Somewhat Bikeable
1484,24,Kirkwood,,38,27,35,27540,MO,Car Dependent,Some Transit,Somewhat Bikeable
1485,25,Maryland Heights,63043.0,23,20,28,27472,MO,Car Dependent,Minimal,Somewhat Bikeable
1486,26,Hazelwood,63042.0,26,25,32,25703,MO,Car Dependent,Some Transit,Somewhat Bikeable
1487,27,Gladstone,,34,21,35,25410,MO,Car Dependent,Minimal,Somewhat Bikeable
1488,28,Grandview,64030.0,20,0,31,24475,MO,Car Dependent,Minimal,Somewhat Bikeable
1489,29,Belton,,22,0,32,23116,MO,Car Dependent,Minimal,Somewhat Bikeable
1490,30,Webster Groves,,46,31,41,22995,MO,Car Dependent,Some Transit,Somewhat Bikeable
1491,31,Sedalia,,43,0,51,21387,MO,Car Dependent,Minimal,Bikeable
1492,32,Ferguson,63135.0,37,34,35,21203,MO,Car Dependent,Some Transit,Somewhat Bikeable
1493,33,Arnold,,20,12,20,20808,MO,Car Dependent,Minimal,Somewhat Bikeable
1494,34,Affton,,36,24,36,20307,MO,Car Dependent,Minimal,Somewhat Bikeable
1495,35,Spanish Lake,,21,30,32,19650,MO,Car Dependent,Some Transit,Somewhat Bikeable
1496,36,Rolla,,37,0,48,19559,MO,Car Dependent,Minimal,Somewhat Bikeable
1497,37,Raymore,,16,0,28,19206,MO,Car Dependent,Minimal,Somewhat Bikeable
1498,38,Old Jamestown,,11,17,25,19184,MO,Car Dependent,Minimal,Somewhat Bikeable
1499,39,Nixa,,19,0,31,19022,MO,Car Dependent,Minimal,Somewhat Bikeable
1500,40,Warrensburg,,37,0,46,18838,MO,Car Dependent,Minimal,Somewhat Bikeable
1501,41,Manchester,,24,14,23,18094,MO,Car Dependent,Minimal,Somewhat Bikeable
1502,42,Hannibal,,31,0,28,17916,MO,Car Dependent,Minimal,Somewhat Bikeable
1503,43,Creve Coeur,,25,24,27,17833,MO,Car Dependent,Minimal,Somewhat Bikeable
1504,44,Ozark,,17,0,24,17820,MO,Car Dependent,Minimal,Somewhat Bikeable
1505,45,Kirksville,,41,0,53,17505,MO,Car Dependent,Minimal,Bikeable
1506,46,Poplar Bluff,,34,0,37,17023,MO,Car Dependent,Minimal,Somewhat Bikeable
1507,47,Lemay,,44,29,44,16645,MO,Car Dependent,Some Transit,Somewhat Bikeable
1508,0,Billings,59102.0,35,0,47,104170,MT,Car Dependent,Minimal,Somewhat Bikeable
1509,1,Missoula,59801.0,46,34,60,66788,MT,Car Dependent,Some Transit,Bikeable
1510,2,Great Falls,59401.0,44,0,47,58505,MT,Car Dependent,Minimal,Somewhat Bikeable
1511,3,Bozeman,,48,20,62,37280,MT,Car Dependent,Minimal,Bikeable
1512,4,Butte,,40,17,45,33525,MT,Car Dependent,Minimal,Somewhat Bikeable
1512,4,Silver Bow,,40,17,45,33525,MT,Car Dependent,Minimal,Somewhat Bikeable
1513,5,Helena,,50,0,44,28190,MT,Somewhat Walkable,Minimal,Somewhat Bikeable
1514,6,Kalispell,,41,0,48,19927,MT,Car Dependent,Minimal,Somewhat Bikeable
1515,0,Omaha,68104.0,47,27,44,408958,NE,Car Dependent,Some Transit,Somewhat Bikeable
1516,1,Lincoln,68521.0,43,24,61,258379,NE,Car Dependent,Minimal,Bikeable
1517,2,Bellevue,,31,0,30,50137,NE,Car Dependent,Minimal,Somewhat Bikeable
1518,3,Grand Island,,40,0,52,48520,NE,Car Dependent,Minimal,Bikeable
1519,4,Kearney,,41,0,49,30787,NE,Car Dependent,Minimal,Somewhat Bikeable
1520,5,Fremont,,45,0,50,26397,NE,Car Dependent,Minimal,Bikeable
1521,6,Hastings,,41,0,50,24907,NE,Car Dependent,Minimal,Bikeable
1522,7,North Platte,,36,0,44,24733,NE,Car Dependent,Minimal,Somewhat Bikeable
1523,8,Norfolk,,43,0,45,24210,NE,Car Dependent,Minimal,Somewhat Bikeable
1524,9,Columbus,,43,0,48,22111,NE,Car Dependent,Minimal,Somewhat Bikeable
1525,10,Papillion,,39,0,45,18894,NE,Car Dependent,Minimal,Somewhat Bikeable
1526,0,Las Vegas,89108.0,41,34,46,583756,NV,Car Dependent,Some Transit,Somewhat Bikeable
1527,1,Henderson,89074.0,29,24,44,257729,NV,Car Dependent,Minimal,Somewhat Bikeable
1528,2,Reno,89509.0,38,28,52,225221,NV,Car Dependent,Some Transit,Bikeable
1529,3,Paradise,89119.0,48,38,54,223167,NV,Car Dependent,Some Transit,Bikeable
1530,4,North Las Vegas,89031.0,33,32,48,216961,NV,Car Dependent,Some Transit,Somewhat Bikeable
1531,5,Sunrise Manor,89142.0,36,40,48,189372,NV,Car Dependent,Some Transit,Somewhat Bikeable
1532,6,Spring Valley,89147.0,43,38,45,178395,NV,Car Dependent,Some Transit,Somewhat Bikeable
1533,7,Enterprise,89139.0,24,0,38,108481,NV,Car Dependent,Minimal,Somewhat Bikeable
1534,8,Sparks,89431.0,40,0,52,90264,NV,Car Dependent,Minimal,Bikeable
1535,9,Carson City,89701.0,35,0,57,55274,NV,Car Dependent,Minimal,Bikeable
1536,10,Whitney,,28,37,47,38585,NV,Car Dependent,Some Transit,Somewhat Bikeable
1537,11,Pahrump,89060.0,4,0,31,36441,NV,Car Dependent,Minimal,Somewhat Bikeable
1538,12,Winchester,,52,45,56,27978,NV,Somewhat Walkable,Some Transit,Bikeable
1539,13,Summerlin South,,21,28,34,24085,NV,Car Dependent,Some Transit,Somewhat Bikeable
1540,14,Fernley,,16,0,37,19368,NV,Car Dependent,Minimal,Somewhat Bikeable
1541,15,Sun Valley,89433.0,20,21,34,19299,NV,Car Dependent,Minimal,Somewhat Bikeable
1542,16,Elko,,36,0,40,18297,NV,Car Dependent,Minimal,Somewhat Bikeable
1543,0,Manchester,3103.0,49,0,42,109565,NH,Car Dependent,Minimal,Somewhat Bikeable
1544,1,Nashua,3060.0,38,0,38,86494,NH,Car Dependent,Minimal,Somewhat Bikeable
1545,2,Concord,3301.0,36,0,37,42695,NH,Car Dependent,Minimal,Somewhat Bikeable
1546,3,Dover,,32,0,36,29987,NH,Car Dependent,Minimal,Somewhat Bikeable
1547,4,Rochester,3868.0,22,0,33,29752,NH,Car Dependent,Minimal,Somewhat Bikeable
1548,5,Keene,,43,0,51,23409,NH,Car Dependent,Minimal,Bikeable
1549,6,Derry,,29,0,38,22015,NH,Car Dependent,Minimal,Somewhat Bikeable
1550,7,Portsmouth,,47,0,48,20779,NH,Car Dependent,Minimal,Somewhat Bikeable
1551,0,Newark,7104.0,79,65,61,277140,NJ,Very Walkable,Good Transit,Bikeable
1552,1,Jersey City,7305.0,87,71,70,247597,NJ,Very Walkable,Excellent Transit,Very Bikeable
1553,2,Paterson,7501.0,78,48,48,146199,NJ,Very Walkable,Some Transit,Somewhat Bikeable
1554,3,Elizabeth,7202.0,81,43,56,124969,NJ,Very Walkable,Some Transit,Bikeable
1555,4,Toms River,8753.0,28,0,39,88791,NJ,Car Dependent,Minimal,Somewhat Bikeable
1556,5,Trenton,8608.0,70,45,58,84913,NJ,Very Walkable,Some Transit,Bikeable
1557,6,Clifton,7011.0,61,45,47,84136,NJ,Somewhat Walkable,Some Transit,Somewhat Bikeable
1558,7,Camden,8105.0,70,47,59,77344,NJ,Very Walkable,Some Transit,Bikeable
1559,8,Passaic,7055.0,82,54,52,69781,NJ,Very Walkable,Good Transit,Bikeable
1560,9,Union City,7087.0,94,81,56,66455,NJ,Walker's Paradise,Excellent Transit,Bikeable
1561,10,East Orange,7017.0,73,56,50,64270,NJ,Very Walkable,Good Transit,Bikeable
1562,11,Bayonne,7002.0,80,62,52,63024,NJ,Very Walkable,Good Transit,Bikeable
1563,12,Vineland,8361.0,26,0,38,60724,NJ,Car Dependent,Minimal,Somewhat Bikeable
1564,13,New Brunswick,8901.0,74,34,62,55181,NJ,Very Walkable,Some Transit,Bikeable
1565,14,Lakewood,,54,0,48,53805,NJ,Somewhat Walkable,Minimal,Somewhat Bikeable
1566,15,Perth Amboy,8861.0,76,43,51,50814,NJ,Very Walkable,Some Transit,Bikeable
1567,16,Hoboken,7030.0,96,75,80,50005,NJ,Walker's Paradise,Excellent Transit,Very Bikeable
1568,17,Plainfield,7062.0,59,42,50,49808,NJ,Somewhat Walkable,Some Transit,Bikeable
1569,18,West New York,7093.0,94,73,51,49708,NJ,Walker's Paradise,Excellent Transit,Bikeable
1570,19,Hackensack,7601.0,73,56,51,43010,NJ,Very Walkable,Good Transit,Bikeable
1571,20,Sayreville,8872.0,30,0,33,42704,NJ,Car Dependent,Minimal,Somewhat Bikeable
1572,21,Kearny,7032.0,75,42,47,40684,NJ,Very Walkable,Some Transit,Somewhat Bikeable
1573,22,Linden,7036.0,67,42,52,40499,NJ,Somewhat Walkable,Some Transit,Bikeable
1574,23,Atlantic City,8401.0,73,48,61,39558,NJ,Very Walkable,Some Transit,Bikeable
1575,24,Fort Lee,7024.0,79,54,50,35345,NJ,Very Walkable,Good Transit,Bikeable
1576,25,Fair Lawn,7410.0,58,42,47,32457,NJ,Somewhat Walkable,Some Transit,Somewhat Bikeable
1577,26,Long Branch,7740.0,63,26,58,30719,NJ,Somewhat Walkable,Some Transit,Bikeable
1578,27,Garfield,7026.0,76,45,49,30487,NJ,Very Walkable,Some Transit,Somewhat Bikeable
