Job Title,Company,Location,Posting Date,Extract Date,Summary,Salary,Job Url
Sr Investment Accountant (Real Estate General Account),TIAA,"Charlotte, NC",1 day ago,2021-03-23,"Excellent communication (written and oral), with senior leaders and peers, facilitation, interpersonal and collaborative skills.
Proficient in Excel and Word.",,https://www.indeed.com/rc/clk?jk=30bc5dac0456e23e&fccid=ee5ba787b9f4e31a&vjs=3
Senior Internal Auditor,TIAA,"Charlotte, NC",1 day ago,2021-03-23,"We offer a wide range of financial solutions, including investing, banking, advice and education, and retirement services.
3 Years Required; 5 Years Preferred.",,https://www.indeed.com/rc/clk?jk=32d9b59e936affdd&fccid=ee5ba787b9f4e31a&vjs=3
Sr. Project Accountant,Hirschfeld Marketing Solutions,"Cornelius, NC",4 days ago,2021-03-23,"Contribute to other office/team activities including team brainstorms, planning meetings, etc.
On a day-to-day basis, the *Sr.
Supervise A/R and A/P functions.",,https://www.indeed.com/company/Hirschfeld-Marketing-Solutions/jobs/Senior-Project-Accountant-b46490dfa0df922c?fccid=3d1fa7b0bf19e67a&vjs=3
Sr. Ops Accountant,"JELD-WEN, inc","Charlotte, NC",7 days ago,2021-03-23,"The Senior Financial Accountant also has the responsibility to ensure consistent and effective compliance with generally accepted accounting principles, Company…",,https://www.indeed.com/rc/clk?jk=ca411b95f4dc96cd&fccid=898ccbeb1f000013&vjs=3
Senior Treasury Analyst,SSG,"Charlotte, NC",12 days ago,2021-03-23,"The individual proactively reviews current processes and makes recommendations for improvements based on industry best practices.
Temporarily due to COVID-19.",,https://www.indeed.com/company/Midtown-Search-Group/jobs/Senior-Treasury-Analyst-38a9eafad3135789?fccid=3cd66e9f50f66a25&vjs=3
"Senior Treasury Analyst, Corporate Finance",Ingersoll Rand,"Davidson, NC",Today,2021-03-23,"This critical position offers exposure and visibility to senior management.
Prepare treasury risk management dashboard for senior executive and board review.",,https://www.indeed.com/rc/clk?jk=67966013ed60260f&fccid=2e3453ae2db0c66d&vjs=3
Senior Accountant - Global Services,CliftonLarsonAllen,"Charlotte, NC",29 days ago,2021-03-23,"3+ years relative work experience as a staff or senior accountant or equivalent.
As part of CLA’s BizOps practice, you will be a member of the CLA Global…",,https://www.indeed.com/rc/clk?jk=269c2fd02e8ed491&fccid=48d824a044be0992&vjs=3
Sr. Accountant,Strategic Accounting Outsource Solutions,"Charlotte, NC",18 days ago,2021-03-23,"This position is full-time, starting immediately.*.
Sr. Accountant for multiple small and medium-sized organizations:
Bring strategic insights to our customers.",,https://www.indeed.com/company/Strategic-Accounting-Outsource-Solutions/jobs/Senior-Accountant-ae281db9795e4a69?fccid=95d9a626c2f34710&vjs=3
Senior Staff Accountant,Verbatim Americas,"Charlotte, NC",30+ days ago,2021-03-23,This position develops and maintains financial and accounting systems for purposes of fiscal control and financial and managerial reporting.,,https://www.indeed.com/rc/clk?jk=a9798365ea23409f&fccid=6435a5304003ed79&vjs=3
Sr Revenue Accountant,"CompuCom Systems, Inc.","Fort Mill, SC",8 days ago,2021-03-23,Provide accounting and ASC-606 expertise while working closely with the Regional Finance Leader to ensure GAAP accounting compliance.,,https://www.indeed.com/rc/clk?jk=e03a154aa61305b8&fccid=37a1bf601ebbfd51&vjs=3
Senior Accountant -Payroll Manager,Compleat Rehab and Sports Therapy/Kare Partners,"Gastonia, NC",20 days ago,2021-03-23,Responsibility for initial review of hourly employee time records and salaried employee pay rate changes and adjustments as well as ensuring proper entry of…,,https://www.indeed.com/rc/clk?jk=86ab5905b78f658d&fccid=567a7c28f3c8b7d0&vjs=3
Senior Staff Accountant,River Rock Capital Partners,"Mooresville, NC",30+ days ago,2021-03-23,"Select invoices and print payments as needed for entities.
We are looking to find candidates with financial and analytical experience who are highly motivated…",,https://www.indeed.com/rc/clk?jk=28e602b7cb078c40&fccid=1e1001dfd78aa247&vjs=3
Senior Accountant II - Fund,Ultimus Leverpoint Private Fund Solutions,"Charlotte, NC",30+ days ago,2021-03-23,"Ability to multitask, time management, attention to detail, planning and problem solving skills required;
Senior Accountant II (Fund) responsibilities consist…",,https://www.indeed.com/rc/clk?jk=647e48d9f14fb3f2&fccid=f3f7867a0107c0fa&vjs=3
Sr. Cost Accountant,Wastequip,"Charlotte, NC",30+ days ago,2021-03-23,"Perform ad-hoc analysis through research to support finance function, including supporting schedules for internal and external reporting requirements;",,https://www.indeed.com/rc/clk?jk=80f5775a5ee35280&fccid=d07b8225d33aac8c&vjs=3
Senior Treasury Analyst,ServiceMac,"Indian Land, SC",5 days ago,2021-03-23,"Create previous day and current day cash position reporting.
Process Wires, Book Transfers, and ACH payments through banking portals, and possibly a treasury…",,https://www.indeed.com/rc/clk?jk=a1fc86f2d38074c7&fccid=235390cdf05f26b1&vjs=3
SENIOR INTERNAL AUDITOR (REMOTE IN US),Compass Group,"Charlotte, NC",10 days ago,2021-03-23,"Conduct audits either individually or as a part of a small team, with responsibility over the planning, audit execution and delivery of the final audit report.",,https://www.indeed.com/rc/clk?jk=2bee0cb1fce2af14&fccid=c55f4ad42cee2cd3&vjs=3
Senior Fund Accountant - Global Investment Management Firm,Linedata Services,"Charlotte, NC",30+ days ago,2021-03-23,"The Finance Team is responsible for all aspects of accounting for Client's funds, finance companies, joint ventures, and management company.",,https://www.indeed.com/rc/clk?jk=c8c5b045ce6a5713&fccid=5664e8dc498ca74b&vjs=3
Sr. Accountant,P2 Consultancy Services,"Charlotte, NC",30+ days ago,2021-03-23,"Develop, implement, modify, and document record keeping and accounting systems making use of current computer technology.
Preparing budget and variance reports.",,https://www.indeed.com/rc/clk?jk=c82bf19dd96dd669&fccid=17c46caafa9396ec&vjs=3
Senior Auditor,AIG,"Charlotte, NC",30+ days ago,2021-03-23,"AIG’s Internal Audit Group (IAG) provides independent and objective assurance, advice, and insight guided by a philosophy of adding value to improve the…",,https://www.indeed.com/rc/clk?jk=af2dbdd8d089d06f&fccid=9a92a4bf81326e1e&vjs=3
"Associate/Senior Associate, Internal Audit",KPMG,"Charlotte, NC",Today,2021-03-23,Identify and clearly communicate performance improvement opportunities and leading practices to client personnel and senior management and work with partners to…,,https://www.indeed.com/rc/clk?jk=97116364e6e4335d&fccid=2dd390c3a48a7ed0&vjs=3
Senior Tax Associate,"RICHEY MAY & CO., LLP","Matthews, NC",30+ days ago,2021-03-23,"Prepare quarterly and year-end estimates to assist clients with tax planning.
We are proud to offer the following firm-sponsored benefits: employee medical,…",,https://www.indeed.com/rc/clk?jk=0fb2231fe8ba6d0f&fccid=3bced6649a7d3fd3&vjs=3
Senior Internal Auditor,SSG,"Charlotte, NC",Active 2 days ago,2021-03-23,"Some experience planning and executing audits.
In addition, the successful candidate will have a strong work ethic and unquestionable integrity, possess…",,https://www.indeed.com/company/Midtown-Search-Group/jobs/Senior-Internal-Auditor-5e947f5f34483f0f?fccid=3cd66e9f50f66a25&vjs=3
