,metro_code,areaname,state_alpha,2017,2018,2019,2020,2021,"city, state"
1,METRO19300M19300,Daphne,AL,807,729,756,744,718,"Daphne, AL"
2,METRO19300M19300,Fairhope,AL,807,729,756,744,718,"Fairhope, AL"
3,METRO19300M19300,Foley,AL,807,729,756,744,718,"Foley, AL"
8,METRO11500M11500,Anniston,AL,437,477,457,468,482,"Anniston, AL"
9,METRO11500M11500,Oxford,AL,437,477,457,468,482,"Oxford, AL"
10,METRO11500M11500,Jacksonville,AL,437,477,457,468,482,"Jacksonville, AL"
11,METRO13820N01021,Chilton County,AL,484,506,517,594,595,"Chilton County, AL"
15,METRO23460M23460,Gadsden,AL,527,494,497,523,557,"Gadsden, AL"
18,METRO20020N01067,Henry County,AL,513,538,493,479,492,"Henry County, AL"
19,METRO20020M20020,Dothan,AL,508,531,515,503,543,"Dothan, AL"
22,METRO22520M22520,Florence,AL,529,526,531,498,525,"Florence, AL"
23,METRO22520M22520,Muscle Shoals,AL,529,526,531,498,525,"Muscle Shoals, AL"
25,METRO12220M12220,Auburn,AL,543,557,547,564,590,"Auburn, AL"
26,METRO12220M12220,Opelika,AL,543,557,547,564,590,"Opelika, AL"
29,METRO26620M26620,Huntsville,AL,541,521,586,567,589,"Huntsville, AL"
30,METRO33660M33660,Mobile,AL,727,679,677,693,642,"Mobile, AL"
31,METRO33860M33860,Montgomery,AL,587,588,581,583,640,"Montgomery, AL"
32,METRO19460M19460,Decatur,AL,427,443,448,480,509,"Decatur, AL"
33,METRO46220N01107,Pickens County,AL,450,451,478,486,490,"Pickens County, AL"
34,METRO17980M17980,Columbus,AL,605,621,643,594,644,"Columbus, AL"
37,METRO13820M13820,Birmingham,AL,665,692,706,804,817,"Birmingham, AL"
38,METRO13820M13820,Hoover,AL,665,692,706,804,817,"Hoover, AL"
39,METRO46220M46220,Tuscaloosa,AL,566,599,658,719,691,"Tuscaloosa, AL"
40,METRO13820N01127,Walker County,AL,500,502,499,566,546,"Walker County, AL"
41,METRO11260M11260,Anchorage,AK,888,923,931,935,877,"Anchorage, AK"
42,METRO21820M21820,Fairbanks,AK,804,873,871,863,858,"Fairbanks, AK"
43,METRO11260N02170,Matanuska,AK,660,740,768,741,733,"Matanuska, AK"
44,METRO11260N02170,Susitna Borough,AK,660,740,768,741,733,"Susitna Borough, AK"
45,METRO43420M43420,Sierra Vista,AZ,594,617,638,654,663,"Sierra Vista, AZ"
46,METRO43420M43420,Douglas,AZ,594,617,638,654,663,"Douglas, AZ"
47,METRO22380M22380,Flagstaff,AZ,704,782,898,964,1026,"Flagstaff, AZ"
51,METRO29420M29420,Lake Havasu City,AZ,529,564,556,630,645,"Lake Havasu City, AZ"
52,METRO29420M29420,Kingman,AZ,529,564,556,630,645,"Kingman, AZ"
53,METRO46060M46060,Tucson,AZ,550,545,580,618,633,"Tucson, AZ"
54,METRO38060M38060,Phoenix,AZ,624,684,744,847,933,"Phoenix, AZ"
55,METRO38060M38060,Mesa,AZ,624,684,744,847,933,"Mesa, AZ"
56,METRO38060M38060,Scottsdale,AZ,624,684,744,847,933,"Scottsdale, AZ"
57,METRO39140M39140,Prescott,AZ,683,665,717,714,698,"Prescott, AZ"
58,METRO49740M49740,Yuma,AZ,639,583,565,572,665,"Yuma, AZ"
63,METRO27860MM3700,Jonesboro,AR,466,493,507,517,535,"Jonesboro, AR"
65,METRO32820M32820,Memphis,AR,631,628,658,665,686,"Memphis, AR"
69,METRO26300M26300,Hot Springs,AR,526,531,551,554,569,"Hot Springs, AR"
70,METRO30780N05053,Grant County,AR,442,470,519,566,619,"Grant County, AR"
72,METRO38220M38220,Pine Bluff,AR,429,479,525,519,542,"Pine Bluff, AR"
73,METRO45500N05081,Little River County,AR,435,450,461,475,493,"Little River County, AR"
80,METRO45500M45500,Texarkana,AR,502,558,569,611,647,"Texarkana, AR"
84,METRO27860N05111,Poinsett County,AR,490,473,488,475,493,"Poinsett County, AR"
88,METRO30780M30780,Little Rock,AR,581,585,617,640,702,"Little Rock, AR"
89,METRO30780M30780,North Little Rock,AR,581,585,617,640,702,"North Little Rock, AR"
90,METRO30780M30780,Conway,AR,581,585,617,640,702,"Conway, AR"
91,METRO22900M22900,Fort Smith,AR,493,486,495,498,551,"Fort Smith, AR"
92,METRO22220M22220,Fayetteville,AR,546,524,547,584,579,"Fayetteville, AR"
93,METRO22220M22220,Springdale,AR,546,524,547,584,579,"Springdale, AR"
94,METRO22220M22220,Rogers,AR,546,524,547,584,579,"Rogers, AR"
97,METRO17020M17020,Chico,CA,656,712,808,761,825,"Chico, CA"
98,METRO41860MM5775,Oakland,CA,1435,1540,1409,1488,1595,"Oakland, CA"
99,METRO41860MM5775,Fremont,CA,1435,1540,1409,1488,1595,"Fremont, CA"
106,METRO23420M23420,Fresno,CA,670,697,668,691,795,"Fresno, CA"
107,METRO20940M20940,El Centro,CA,522,575,612,669,708,"El Centro, CA"
108,METRO12540M12540,Bakersfield,CA,623,672,700,711,734,"Bakersfield, CA"
109,METRO25260M25260,Hanford,CA,619,747,778,841,894,"Hanford, CA"
110,METRO25260M25260,Corcoran,CA,619,747,778,841,894,"Corcoran, CA"
111,METRO31080MM4480,Los Angeles,CA,988,1067,1158,1279,1369,"Los Angeles, CA"
112,METRO31080MM4480,Long Beach,CA,988,1067,1158,1279,1369,"Long Beach, CA"
113,METRO31080MM4480,Glendale,CA,988,1067,1158,1279,1369,"Glendale, CA"
114,METRO31460M31460,Madera,CA,667,718,766,833,875,"Madera, CA"
116,METRO32900M32900,Merced,CA,522,542,579,651,724,"Merced, CA"
117,METRO41500M41500,Salinas,CA,950,986,1089,1334,1348,"Salinas, CA"
118,METRO34900M34900,Napa,CA,1014,1005,1095,1225,1331,"Napa, CA"
119,METRO31080MM5945,Santa Ana,CA,1257,1294,1415,1563,1678,"Santa Ana, CA"
120,METRO31080MM5945,Anaheim,CA,1257,1294,1415,1563,1678,"Anaheim, CA"
121,METRO31080MM5945,Irvine,CA,1257,1294,1415,1563,1678,"Irvine, CA"
131,METRO40900M40900,Sacramento,CA,720,757,853,952,1060,"Sacramento, CA"
133,METRO40900M40900,Roseville,CA,720,757,853,952,1060,"Roseville, CA"
134,METRO40900M40900,,CA,720,757,853,952,1060,", CA"
135,METRO40900M40900,Arden,CA,720,757,853,952,1060,"Arden, CA"
136,METRO40900M40900,Arcade,CA,720,757,853,952,1060,"Arcade, CA"
137,METRO41940N06069,San Benito County,CA,1019,1269,1314,1290,1200,"San Benito County, CA"
138,METRO40140M40140,Riverside,CA,800,768,826,875,955,"Riverside, CA"
139,METRO40140M40140,San Bernardino,CA,800,768,826,875,955,"San Bernardino, CA"
140,METRO40140M40140,Ontario,CA,800,768,826,875,955,"Ontario, CA"
141,METRO41740M41740,San Diego,CA,1212,1257,1422,1404,1478,"San Diego, CA"
142,METRO41740M41740,Carlsbad,CA,1212,1257,1422,1404,1478,"Carlsbad, CA"
144,METRO44700M44700,Stockton,CA,617,631,702,745,845,"Stockton, CA"
145,METRO44700M44700,Lodi,CA,617,631,702,745,845,"Lodi, CA"
146,METRO42020M42020,San Luis Obispo,CA,887,971,1059,1153,1166,"San Luis Obispo, CA"
147,METRO42020M42020,Paso Robles,CA,887,971,1059,1153,1166,"Paso Robles, CA"
148,METRO42020M42020,Arroyo Grande,CA,887,971,1059,1153,1166,"Arroyo Grande, CA"
149,METRO41860MM7360,San Francisco,CA,1915,2014,2069,2197,2350,"San Francisco, CA"
150,METRO42200M42200,Santa Maria,CA,1131,1393,1403,1684,1728,"Santa Maria, CA"
151,METRO42200M42200,Santa Barbara,CA,1131,1393,1403,1684,1728,"Santa Barbara, CA"
152,METRO41940M41940,San Jose,CA,1507,1716,1952,2103,2228,"San Jose, CA"
153,METRO41940M41940,Sunnyvale,CA,1507,1716,1952,2103,2228,"Sunnyvale, CA"
154,METRO41940M41940,Santa Clara,CA,1507,1716,1952,2103,2228,"Santa Clara, CA"
155,METRO42100M42100,Santa Cruz,CA,1160,1253,1567,1641,1993,"Santa Cruz, CA"
156,METRO42100M42100,Watsonville,CA,1160,1253,1567,1641,1993,"Watsonville, CA"
157,METRO39820M39820,Redding,CA,657,658,659,630,804,"Redding, CA"
158,METRO46700M46700,Vallejo,CA,830,874,983,1124,1190,"Vallejo, CA"
159,METRO46700M46700,Fairfield,CA,830,874,983,1124,1190,"Fairfield, CA"
160,METRO42220M42220,Santa Rosa,CA,1047,1224,1254,1302,1340,"Santa Rosa, CA"
161,METRO33700M33700,Modesto,CA,652,727,722,788,890,"Modesto, CA"
163,METRO47300M47300,Visalia,CA,663,629,695,710,723,"Visalia, CA"
164,METRO47300M47300,Porterville,CA,663,629,695,710,723,"Porterville, CA"
165,METRO37100M37100,Oxnard,CA,1118,1109,1153,1266,1269,"Oxnard, CA"
166,METRO37100M37100,Thousand Oaks,CA,1118,1109,1153,1266,1269,"Thousand Oaks, CA"
167,METRO37100M37100,Ventura,CA,1118,1109,1153,1266,1269,"Ventura, CA"
168,METRO40900MM9270,Yolo,CA,872,848,953,1010,1085,"Yolo, CA"
169,METRO49700M49700,Yuba City,CA,663,674,670,838,875,"Yuba City, CA"
176,METRO14500M14500,Boulder,CO,905,1084,1130,1273,1279,"Boulder, CO"
192,METRO17820M17820,Colorado Springs,CO,603,651,684,743,797,"Colorado Springs, CO"
199,METRO22660M22660,Fort Collins,CO,719,782,892,906,1004,"Fort Collins, CO"
200,METRO24300M24300,Grand Junction,CO,588,589,584,713,674,"Grand Junction, CO"
201,METRO19740M19740,Denver,CO,844,938,1029,1114,1179,"Denver, CO"
202,METRO19740M19740,Aurora,CO,844,938,1029,1114,1179,"Aurora, CO"
203,METRO19740M19740,Lakewood,CO,844,938,1029,1114,1179,"Lakewood, CO"
204,METRO39380M39380,Pueblo,CO,599,575,657,632,631,"Pueblo, CO"
205,METRO17820N08119,Teller County,CO,697,666,686,727,761,"Teller County, CO"
206,METRO24540M24540,Greeley,CO,599,625,658,709,827,"Greeley, CO"
227,METRO14860MM1930,Danbury,CT,888,1026,1017,1140,1138,"Danbury, CT"
231,METRO14860MM1160,Bridgeport,CT,834,846,858,878,954,"Bridgeport, CT"
236,METRO14860MM8040,Stamford,CT,1242,1267,1211,1356,1292,"Stamford, CT"
237,METRO14860MM8040,Norwalk,CT,1242,1267,1211,1356,1292,"Norwalk, CT"
357,METRO25540MM5480,Southern Middlesex County,CT,886,884,917,944,1004,"Southern Middlesex County, CT"
400,METRO35300MM1160,Milford,CT,986,913,882,897,939,"Milford, CT"
401,METRO35300MM1160,Ansonia,CT,986,913,882,897,939,"Ansonia, CT"
402,METRO35300MM1160,Seymour,CT,986,913,882,897,939,"Seymour, CT"
409,METRO35300MM8880,Waterbury,CT,631,669,713,729,773,"Waterbury, CT"
410,METRO35300MM5480,New Haven,CT,968,965,1049,1042,1055,"New Haven, CT"
411,METRO35300MM5480,Meriden,CT,968,965,1049,1042,1055,"Meriden, CT"
424,METRO35980MM3280,Colchester,CT,809,904,850,838,846,"Colchester, CT"
425,METRO35980MM3280,Lebanon,CT,809,904,850,838,846,"Lebanon, CT"
452,METRO35980M35980,Norwich,CT,748,840,798,815,810,"Norwich, CT"
453,METRO35980M35980,New London,CT,748,840,798,815,810,"New London, CT"
490,METRO25540M25540,Hartford,CT,782,752,768,801,889,"Hartford, CT"
491,METRO25540M25540,West Hartford,CT,782,752,768,801,889,"West Hartford, CT"
492,METRO25540M25540,East Hartford,CT,782,752,768,801,889,"East Hartford, CT"
507,METRO49340N09015,Windham County,CT,665,861,775,787,816,"Windham County, CT"
508,METRO20100M20100,Dover,DE,832,771,853,880,878,"Dover, DE"
509,METRO37980M37980,Philadelphia,DE,845,883,840,864,900,"Philadelphia, DE"
510,METRO37980M37980,Camden,DE,845,883,840,864,900,"Camden, DE"
511,METRO37980M37980,Wilmington,DE,845,883,840,864,900,"Wilmington, DE"
512,METRO41540N10005,Sussex County,DE,618,596,707,637,641,"Sussex County, DE"
513,METRO47900M47900,Washington,DC,1440,1504,1415,1457,1513,"Washington, DC"
514,METRO47900M47900,Arlington,DC,1440,1504,1415,1457,1513,"Arlington, DC"
515,METRO47900M47900,Alexandria,DC,1440,1504,1415,1457,1513,"Alexandria, DC"
517,METRO27260N12003,Baker County,FL,477,473,490,522,530,"Baker County, FL"
518,METRO37460M37460,Panama City,FL,693,731,765,735,855,"Panama City, FL"
519,METRO37460M37460,Lynn Haven,FL,693,731,765,735,855,"Lynn Haven, FL"
520,METRO37460M37460,Panama City Beach,FL,693,731,765,735,855,"Panama City Beach, FL"
521,METRO37340M37340,Palm Bay,FL,561,649,642,702,759,"Palm Bay, FL"
522,METRO37340M37340,Melbourne,FL,561,649,642,702,759,"Melbourne, FL"
523,METRO37340M37340,Titusville,FL,561,649,642,702,759,"Titusville, FL"
524,METRO33100MM2680,Fort Lauderdale,FL,829,889,950,1035,1059,"Fort Lauderdale, FL"
525,METRO39460M39460,Punta Gorda,FL,630,642,755,799,799,"Punta Gorda, FL"
526,METRO26140M26140,Homosassa Springs,FL,576,596,620,644,659,"Homosassa Springs, FL"
528,METRO34940M34940,Naples,FL,801,778,853,900,948,"Naples, FL"
529,METRO34940M34940,Immokalee,FL,801,778,853,900,948,"Immokalee, FL"
530,METRO34940M34940,Marco Island,FL,801,778,853,900,948,"Marco Island, FL"
535,METRO19660M37380,Palm Coast,FL,843,811,929,837,754,"Palm Coast, FL"
537,METRO23540M23540,Gainesville,FL,624,648,694,721,805,"Gainesville, FL"
538,METRO37460N12045,Gulf County,FL,637,662,695,640,759,"Gulf County, FL"
542,METRO42700M42700,Sebring,FL,488,504,540,552,575,"Sebring, FL"
546,METRO42680M42680,Sebastian,FL,586,589,617,663,699,"Sebastian, FL"
547,METRO42680M42680,Vero Beach,FL,586,589,617,663,699,"Vero Beach, FL"
552,METRO15980M15980,Cape Coral,FL,687,701,776,875,931,"Cape Coral, FL"
553,METRO15980M15980,Fort Myers,FL,687,701,776,875,931,"Fort Myers, FL"
554,METRO45220M45220,Tallahassee,FL,703,728,727,771,778,"Tallahassee, FL"
558,METRO36100M36100,Ocala,FL,633,602,631,650,692,"Ocala, FL"
560,METRO33100MM5000,Miami,FL,831,871,951,1084,1057,"Miami, FL"
561,METRO33100MM5000,Miami Beach,FL,831,871,951,1084,1057,"Miami Beach, FL"
562,METRO33100MM5000,Kendall,FL,831,871,951,1084,1057,"Kendall, FL"
564,METRO18880M18880,Crestview,FL,754,849,847,941,977,"Crestview, FL"
565,METRO18880M18880,Fort Walton Beach,FL,754,849,847,941,977,"Fort Walton Beach, FL"
566,METRO18880M18880,Destin,FL,754,849,847,941,977,"Destin, FL"
573,METRO33100MM8960,West Palm Beach,FL,869,912,953,1015,983,"West Palm Beach, FL"
574,METRO33100MM8960,Boca Raton,FL,869,912,953,1015,983,"Boca Raton, FL"
578,METRO45300M45300,Tampa,FL,714,765,860,935,989,"Tampa, FL"
579,METRO45300M45300,St. Petersburg,FL,714,765,860,935,989,"St. Petersburg, FL"
580,METRO45300M45300,Clearwater,FL,714,765,860,935,989,"Clearwater, FL"
581,METRO29460M29460,Lakeland,FL,636,648,703,698,794,"Lakeland, FL"
582,METRO29460M29460,Winter Haven,FL,636,648,703,698,794,"Winter Haven, FL"
583,METRO27260M27260,Jacksonville,FL,617,604,632,700,746,"Jacksonville, FL"
584,METRO38940M38940,Port St. Lucie,FL,801,786,855,932,926,"Port St. Lucie, FL"
585,METRO37860M37860,Pensacola,FL,741,702,789,798,776,"Pensacola, FL"
586,METRO37860M37860,Ferry Pass,FL,741,702,789,798,776,"Ferry Pass, FL"
587,METRO37860M37860,Brent,FL,741,702,789,798,776,"Brent, FL"
588,METRO35840M35840,North Port,FL,769,766,811,807,841,"North Port, FL"
589,METRO35840M35840,Sarasota,FL,769,766,811,807,841,"Sarasota, FL"
590,METRO35840M35840,Bradenton,FL,769,766,811,807,841,"Bradenton, FL"
591,METRO36740M36740,Orlando,FL,766,849,932,989,1055,"Orlando, FL"
592,METRO36740M36740,Kissimmee,FL,766,849,932,989,1055,"Kissimmee, FL"
593,METRO36740M36740,Sanford,FL,766,849,932,989,1055,"Sanford, FL"
594,METRO45540M45540,The Villages,FL,527,549,626,652,716,"The Villages, FL"
595,METRO19660M19660,Deltona,FL,608,609,700,750,693,"Deltona, FL"
596,METRO19660M19660,Daytona Beach,FL,608,609,700,750,693,"Daytona Beach, FL"
597,METRO19660M19660,Ormond Beach,FL,608,609,700,750,693,"Ormond Beach, FL"
598,METRO45220N12129,Wakulla County,FL,635,673,606,608,678,"Wakulla County, FL"
599,METRO18880N12131,Walton County,FL,682,723,700,751,792,"Walton County, FL"
612,METRO12060N13035,Butts County,GA,601,657,677,689,653,"Butts County, GA"
647,METRO42340M42340,Savannah,GA,706,853,827,838,877,"Savannah, GA"
651,METRO40660M40660,Rome,GA,497,520,572,609,623,"Rome, GA"
662,METRO23580M23580,Gainesville,GA,644,682,707,700,761,"Gainesville, GA"
663,METRO12060N13143,Haralson County,GA,550,621,686,692,653,"Haralson County, GA"
671,METRO47580M47580,Warner Robins,GA,644,587,664,687,720,"Warner Robins, GA"
675,METRO12060N13171,Lamar County,GA,472,537,597,654,637,"Lamar County, GA"
678,METRO25980M25980,Hinesville,GA,719,647,689,709,803,"Hinesville, GA"
679,METRO12260N13181,Lincoln County,GA,463,529,547,548,528,"Lincoln County, GA"
680,METRO25980N13183,Long County,GA,590,531,537,539,582,"Long County, GA"
681,METRO46660M46660,Valdosta,GA,538,554,533,549,588,"Valdosta, GA"
684,METRO15260M15260,Brunswick,GA,602,580,633,653,680,"Brunswick, GA"
688,METRO12060N13199,Meriwether County,GA,495,539,568,624,605,"Meriwether County, GA"
689,METRO31420N13207,Monroe County,GA,562,533,505,494,493,"Monroe County, GA"
690,METRO12060N13211,Morgan County,GA,587,678,739,784,706,"Morgan County, GA"
691,METRO19140N13213,Murray County,GA,468,510,529,528,519,"Murray County, GA"
692,METRO17980M17980,Columbus,GA,605,621,643,594,644,"Columbus, GA"
698,METRO12020M12020,Athens,GA,625,613,622,690,663,"Athens, GA"
699,METRO12020M12020,Clarke County,GA,625,613,622,690,663,"Clarke County, GA"
703,METRO47580N13225,Peach County,GA,430,510,560,504,484,"Peach County, GA"
710,METRO47580N13235,Pulaski County,GA,475,485,498,496,510,"Pulaski County, GA"
711,METRO12260M12260,Augusta,GA,563,617,691,689,636,"Augusta, GA"
712,METRO12260M12260,Richmond County,GA,563,617,691,689,636,"Richmond County, GA"
720,METRO16860M16860,Chattanooga,GA,562,542,585,599,636,"Chattanooga, GA"
721,METRO12060M12060,Atlanta,GA,818,873,942,996,1016,"Atlanta, GA"
722,METRO12060M12060,Sandy Springs,GA,818,873,942,996,1016,"Sandy Springs, GA"
723,METRO12060M12060,Roswell,GA,818,873,942,996,1016,"Roswell, GA"
724,METRO19140M19140,Dalton,GA,531,563,556,542,531,"Dalton, GA"
725,METRO10500M10500,Albany,GA,579,562,554,601,624,"Albany, GA"
726,METRO46520M46520,Urban Honolulu,HI,1333,1352,1390,1473,1433,"Urban Honolulu, HI"
728,METRO38540M38540,Pocatello,ID,432,459,450,502,516,"Pocatello, ID"
731,METRO26820N16023,Butte County,ID,483,475,489,525,521,"Butte County, ID"
733,METRO30860M30860,Logan,ID,440,448,450,467,516,"Logan, ID"
734,METRO14260N16045,Gem County,ID,464,504,517,556,614,"Gem County, ID"
735,METRO26820M26820,Idaho Falls,ID,486,494,476,522,538,"Idaho Falls, ID"
736,METRO17660M17660,Coeur d'Alene,ID,558,626,630,682,679,"Coeur d'Alene, ID"
737,METRO30300M30300,Lewiston,ID,469,511,519,566,584,"Lewiston, ID"
738,METRO14260M14260,Boise City,ID,512,552,560,613,683,"Boise City, ID"
739,METRO16020M16020,Cape Girardeau,IL,551,527,563,542,537,"Cape Girardeau, IL"
740,METRO41180N17005,Bond County,IL,478,492,505,508,581,"Bond County, IL"
749,METRO16980MM2050,DeKalb County,IL,612,635,645,683,705,"DeKalb County, IL"
750,METRO14010N17039,De Witt County,IL,507,539,563,561,505,"De Witt County, IL"
756,METRO16980MM3170,Grundy County,IL,776,698,843,873,887,"Grundy County, IL"
760,METRO16060N17077,Jackson County,IL,465,454,458,479,500,"Jackson County, IL"
765,METRO28100M28100,Kankakee,IL,570,567,586,621,640,"Kankakee, IL"
766,METRO16980MM3780,Kendall County,IL,822,915,927,941,967,"Kendall County, IL"
773,METRO14010M14060,Bloomington,IL,553,613,585,579,603,"Bloomington, IL"
774,METRO19500M19500,Decatur,IL,442,487,475,490,509,"Decatur, IL"
775,METRO41180N17117,Macoupin County,IL,445,457,480,526,536,"Macoupin County, IL"
784,METRO16580M16580,Champaign,IL,544,615,678,725,734,"Champaign, IL"
785,METRO16580M16580,Urbana,IL,544,615,678,725,734,"Urbana, IL"
786,METRO19340M19340,Davenport,IL,473,515,556,524,517,"Davenport, IL"
787,METRO19340M19340,Moline,IL,473,515,556,524,517,"Moline, IL"
788,METRO19340M19340,Rock Island,IL,473,515,556,524,517,"Rock Island, IL"
789,METRO41180M41180,St. Louis,IL,609,609,635,633,671,"St. Louis, IL"
790,METRO44100M44100,Springfield,IL,528,555,573,542,576,"Springfield, IL"
793,METRO19180M19180,Danville,IL,446,473,468,482,524,"Danville, IL"
794,METRO16980M16980,Chicago,IL,912,879,915,956,1012,"Chicago, IL"
795,METRO16980M16980,Joliet,IL,912,879,915,956,1012,"Joliet, IL"
796,METRO16980M16980,Naperville,IL,912,879,915,956,1012,"Naperville, IL"
797,METRO16060N17199,Williamson County,IL,503,520,526,560,574,"Williamson County, IL"
798,METRO40420M40420,Rockford,IL,515,516,525,540,527,"Rockford, IL"
799,METRO37900M37900,Peoria,IL,525,549,573,564,631,"Peoria, IL"
801,METRO18020M18020,Columbus,IN,596,628,712,724,760,"Columbus, IN"
808,METRO29200N18015,Carroll County,IN,511,521,513,532,551,"Carroll County, IN"
812,METRO34620M34620,Muncie,IN,486,531,557,567,562,"Muncie, IN"
813,METRO21140M21140,Elkhart,IN,476,498,521,532,545,"Elkhart, IN"
814,METRO21140M21140,Goshen,IN,476,498,521,532,545,"Goshen, IN"
820,METRO31140M31140,Louisville,IN,551,578,602,614,649,"Louisville, IN"
823,METRO29020M29020,Kokomo,IN,515,494,543,569,576,"Kokomo, IN"
824,METRO16980N18073,Jasper County,IN,573,611,628,665,680,"Jasper County, IN"
828,METRO33140M33140,Michigan City,IN,463,484,497,511,505,"Michigan City, IN"
829,METRO33140M33140,La Porte,IN,463,484,497,511,505,"La Porte, IN"
830,METRO26900M11300,Anderson,IN,492,467,508,543,558,"Anderson, IN"
833,METRO14020MM1020,Bloomington,IN,659,678,697,646,681,"Bloomington, IN"
837,METRO17140M17140,Cincinnati,IN,527,556,584,568,604,"Cincinnati, IN"
838,METRO14020N18119,Owen County,IN,479,520,563,566,578,"Owen County, IN"
839,METRO16980MM2960,Gary,IN,548,578,590,597,609,"Gary, IN"
841,METRO26900N18133,Putnam County,IN,540,535,564,570,572,"Putnam County, IN"
842,METRO43780M43780,South Bend,IN,502,547,530,598,616,"South Bend, IN"
843,METRO43780M43780,Mishawaka,IN,502,547,530,598,616,"Mishawaka, IN"
844,METRO31140N18143,Scott County,IN,509,551,577,564,600,"Scott County, IN"
845,METRO26900M26900,Indianapolis,IN,594,599,651,674,678,"Indianapolis, IN"
846,METRO26900M26900,Carmel,IN,594,599,651,674,678,"Carmel, IN"
847,METRO45460N18153,Sullivan County,IN,489,493,518,521,545,"Sullivan County, IN"
848,METRO29200M29140,Lafayette,IN,613,612,615,620,653,"Lafayette, IN"
849,METRO29200M29140,West Lafayette,IN,613,612,615,620,653,"West Lafayette, IN"
850,METRO17140N18161,Union County,IN,435,460,487,471,495,"Union County, IN"
853,METRO45460M45460,Terre Haute,IN,481,491,517,513,546,"Terre Haute, IN"
854,METRO21780M21780,Evansville,IN,566,555,565,565,597,"Evansville, IN"
855,METRO31140N18175,Washington County,IN,467,491,492,504,517,"Washington County, IN"
857,METRO23060M23060,Fort Wayne,IN,469,503,518,511,526,"Fort Wayne, IN"
858,METRO16300N19011,Benton County,IA,491,513,522,470,472,"Benton County, IA"
861,METRO47940N19017,Bremer County,IA,461,439,496,470,540,"Bremer County, IA"
864,METRO20220M20220,Dubuque,IA,524,500,509,510,532,"Dubuque, IA"
865,METRO47940M47940,Waterloo,IA,496,491,554,517,592,"Waterloo, IA"
866,METRO47940M47940,Cedar Falls,IA,496,491,554,517,592,"Cedar Falls, IA"
871,METRO26980MM3500,Iowa City,IA,649,625,612,705,735,"Iowa City, IA"
872,METRO16300N19105,Jones County,IA,412,417,427,448,472,"Jones County, IA"
873,METRO16300M16300,Cedar Rapids,IA,485,494,522,506,524,"Cedar Rapids, IA"
878,METRO43580N19149,Plymouth County,IA,419,431,427,448,472,"Plymouth County, IA"
881,METRO36540M36540,Omaha,IA,568,606,623,650,695,"Omaha, IA"
882,METRO36540M36540,Council Bluffs,IA,568,606,623,650,695,"Council Bluffs, IA"
883,METRO19340M19340,Davenport,IA,473,515,556,524,517,"Davenport, IA"
884,METRO19340M19340,Moline,IA,473,515,556,524,517,"Moline, IA"
885,METRO19340M19340,Rock Island,IA,473,515,556,524,517,"Rock Island, IA"
886,METRO11180M11180,Ames,IA,526,607,669,684,749,"Ames, IA"
887,METRO19780M19780,Des Moines,IA,566,597,614,603,608,"Des Moines, IA"
888,METRO19780M19780,West Des Moines,IA,566,597,614,603,608,"West Des Moines, IA"
889,METRO26980N19183,Washington County,IA,521,515,503,564,584,"Washington County, IA"
890,METRO43580M43580,Sioux City,IA,478,514,527,523,549,"Sioux City, IA"
892,METRO41140M41140,St. Joseph,KS,498,519,531,555,539,"St. Joseph, KS"
893,METRO29940M29940,Lawrence,KS,544,577,652,693,712,"Lawrence, KS"
898,METRO48620N20095,Kingman County,KS,432,445,432,465,474,"Kingman County, KS"
904,METRO31740M31740,Manhattan,KS,627,762,722,752,715,"Manhattan, KS"
905,METRO48620M48620,Wichita,KS,485,515,506,536,563,"Wichita, KS"
907,METRO48620N20191,Sumner County,KS,432,454,448,482,501,"Sumner County, KS"
908,METRO45820M45820,Topeka,KS,482,507,543,590,604,"Topeka, KS"
909,METRO28140M28140,Kansas City,KS,609,568,640,678,731,"Kansas City, KS"
910,METRO14540N21003,Allen County,KY,442,502,482,493,520,"Allen County, KY"
918,METRO14540N21031,Butler County,KY,442,467,464,476,500,"Butler County, KY"
928,METRO17140MM3020,Grant County,KY,484,514,630,629,639,"Grant County, KY"
929,METRO26580M26580,Huntington,KY,465,469,509,553,553,"Huntington, KY"
930,METRO26580M26580,Ashland,KY,465,469,509,553,553,"Ashland, KY"
933,METRO21780M21780,Evansville,KY,566,555,565,565,597,"Evansville, KY"
939,METRO21060M21060,Elizabethtown,KY,530,531,543,587,638,"Elizabethtown, KY"
940,METRO36980M36980,Owensboro,KY,510,534,536,565,598,"Owensboro, KY"
941,METRO21060N21163,Meade County,KY,482,492,476,502,561,"Meade County, KY"
943,METRO17140M17140,Cincinnati,KY,527,556,584,568,604,"Cincinnati, KY"
