,School,Score,Rating,Address,Type,Grades,Total Students Enrolled,Students per teacher,District
94,Lehigh Vally Cc-St Luke,0/10,Currently unrated,"729 Delaware Avenue, Bethlehem, PA, 18015",Private,PK,N/A,N/A,N/A
95,Creative Kids Club Day Care,0/10,Currently unrated,"90 Southland Dr, Bethlehem, PA, 18017",Private,PK,N/A,N/A,N/A
96,LVCC Fowler Day Care,0/10,Currently unrated,"938 Main St, Bethlehem, PA, 18018",Private,PK,N/A,N/A,N/A
97,St Nicholas Greek Orthodox Academy,0/10,Currently unrated,"1607 West Union Boulevard, Bethlehem, PA, 18018",Private,K,30,N/A,N/A
98,The Goddard School - Bethlehem,0/10,Currently unrated,"4500 Falmer Drive, Bethlehem, PA, 18020",Private,PK-K,51,N/A,N/A
99,Marvine Child Care Center,0/10,Currently unrated,"1425 Livingston Street, Bethlehem, PA, 18017",Private,PK,N/A,N/A,N/A
100,Creative Kids Club Child Care Center,0/10,Currently unrated,"90 South Commerce Way, Suite 480, Bethlehem, PA, 18017",Private,PK,N/A,N/A,N/A
101,Happy Faces Day Care,0/10,Currently unrated,"418 Edward Street, Bethlehem, PA, 18015",Private,PK,N/A,N/A,N/A
102,Pembroke Pee Wees Day Care,0/10,Currently unrated,"1032 Pembroke Road, Bethlehem, PA, 18017",Private,PK,N/A,N/A,N/A
103,Creative Kids Club Ii Child Care Center,0/10,Currently unrated,"1560 Valley Center Parkway, Bethlehem, PA, 18017",Private,PK,N/A,N/A,N/A
104,Creative Kids Club Ii Child Care Center,0/10,Currently unrated,"1560 Valley Center Parkway, Bethlehem, PA, 18017",Private,PK,N/A,N/A,N/A
105,Youngsters Day Care,0/10,Currently unrated,"136 East Raspberry Street, Bethlehem, PA, 18018",Private,PK,N/A,N/A,N/A
106,Unitarian Head Start,0/10,Currently unrated,"424 Center Street, Bethlehem, PA, 18018",Private,PK,N/A,N/A,N/A
107,Salem Lutheran Church Head Start,0/10,Currently unrated,"134 East Broad Street, Bethlehem, PA, 18018",Private,PK,N/A,N/A,N/A
108,Governor Wolf Child Care,0/10,Currently unrated,"1920 Butztown Road, Bethlehem, PA, 18017",Private,PK,N/A,N/A,N/A
109,Lincoln Elementary School Day Care,0/10,Currently unrated,"1260 Gresham Street, Bethlehem, PA, 18017",Private,PK,N/A,N/A,N/A
110,Miller Heights Child Day Care,0/10,Currently unrated,"3605 Allen Street, Bethlehem, PA, 18020",Private,PK,N/A,N/A,N/A
111,Spring Garden Child Care,0/10,Currently unrated,"901 North Boulevard, Bethlehem, PA, 18017",Private,PK,N/A,N/A,N/A
112,Freemansburg Elementary Day Care,0/10,Currently unrated,"501 Monroe Street, Bethlehem, PA, 18017",Private,PK-K,N/A,N/A,N/A
113,Hanover Elementary Day Care Center,0/10,Currently unrated,"3890 Jacksonville Road, Bethlehem, PA, 18017",Private,PK,N/A,N/A,N/A
114,Calypso Elementary School Cc,0/10,Currently unrated,"1021 Calypso Avenue, Bethlehem, PA, 18018",Private,PK,N/A,N/A,N/A
115,Messiah Lutheran Child Care Center,0/10,Currently unrated,"2020 Worthington Avenue, Bethlehem, PA, 18017",Private,PK,N/A,N/A,N/A
