,School,Type,Grades,Total students enrolled,Students per teacher,District,Score,Rating,Address,Length
7954,"Tops K-82500 Franklin Avenue East, Seattle, WA, 98102",Public district,PK-8,471.0,20:1,Seattle Public Schools,8,Above average,,1
8072,"Joyce Clark Middle School (Formerly Sierra Vista M1045 South Lenzner Avenue, Sierra Vista, AZ, 85635",Public district,7-8,774.0,20:1,Sierra Vista Unified District,5,Average,,1
8073,"Center For Academic Success #5900 East Carmelita Drive, Sierra Vista, AZ, 85635",Public charter,K-8,395.0,21:1,Center For Academic Success Inc.,5,Average,,1
8079,"Center For Academic Success The #1900 East Carmelita Drive, Sierra Vista, AZ, 85635",Public charter,9-12,123.0,9:1,Center For Academic Success Inc.,3,Below average,,1
8117,"Challenge Center - 512421 West 15th Street, Sioux Falls, SD, 57104",Public district,2-5,156.0,19:1,Sioux Falls School District 49-5,10,Top rated,,1
8118,"Rf Pettigrew Elementary - 177900 West 53rd Street, Sioux Falls, SD, 57106",Public district,PK-5,970.0,20:1,Sioux Falls School District 49-5,9,Above average,,1
8119,"Endeavor Elem - 072401 West 95th Street, Sioux Falls, SD, 57108",Public district,K-5,521.0,15:1,Harrisburg School District 41-2,9,Above average,,1
8120,"Fred Assam Elementary - 067700 East Willowwood Street, Sioux Falls, SD, 57110",Public district,K-4,484.0,11:1,Brandon Valley School District 49-2,8,Above average,,1
8121,"Sonia Sotomayor Elementary - 65201 East 38th Street, Sioux Falls, SD, 57105",Public district,PK-5,645.0,19:1,Sioux Falls School District 49-5,8,Above average,,1
8122,"John F. Kennedy Elementary - 574501 South Holbrook Avenue, Sioux Falls, SD, 57106",Public district,K-5,620.0,17:1,Sioux Falls School District 49-5,8,Above average,,1
8123,"All City Elementary - 502511 West Brookings Street, Sioux Falls, SD, 57104",Public district,K-5,148.0,16:1,Sioux Falls School District 49-5,8,Above average,,1
8124,"Harrisburg North MS - 082201 West 95th Street, Sioux Falls, SD, 57108",Public district,6-8,648.0,14:1,Harrisburg School District 41-2,7,Above average,,1
8125,"Edison Middle School - 062101 South West Avenue, Sioux Falls, SD, 57105",Public district,6-8,1047.0,15:1,Sioux Falls School District 49-5,7,Above average,,1
8126,"Patrick Henry Middle School - 072200 South 5th Avenue, Sioux Falls, SD, 57105",Public district,6-8,1118.0,15:1,Sioux Falls School District 49-5,7,Above average,,1
8127,"John Harris Elementary - 233501 East 49th Street, Sioux Falls, SD, 57103",Public district,PK-5,688.0,20:1,Sioux Falls School District 49-5,7,Above average,,1
8128,"Memorial Middle School - 041401 South Sertoma Avenue, Sioux Falls, SD, 57106",Public district,6-8,1364.0,17:1,Sioux Falls School District 49-5,7,Above average,,1
8129,"New Technology High School - 302205 North Career Avenue, Sioux Falls, SD, 57107",Public district,9-12,343.0,19:1,Sioux Falls School District 49-5,6,Average,,1
8130,"Journey Elementary - 056801 South Grange Avenue, Sioux Falls, SD, 57108",Public district,K-5,399.0,15:1,Harrisburg School District 41-2,6,Average,,1
8132,"Oscar Howe Elementary - 582801 South Valley View Road, Sioux Falls, SD, 57106",Public district,K-5,579.0,18:1,Sioux Falls School District 49-5,6,Average,,1
8133,"Explorer Elementary - 044010 West 82nd Street, Sioux Falls, SD, 57108",Public district,PK-5,443.0,13:1,Harrisburg School District 41-2,6,Average,,1
8134,"Harvey Dunn Elementary - 542400 South Bahnson Avenue, Sioux Falls, SD, 57103",Public district,PK-5,745.0,19:1,Sioux Falls School District 49-5,5,Average,,1
8135,"Robert Frost Elementary - 183101 South 4th Avenue, Sioux Falls, SD, 57105",Public district,PK-5,485.0,17:1,Sioux Falls School District 49-5,5,Average,,1
8137,"Eugene Field Elementary - 16501 South Highland Avenue, Sioux Falls, SD, 57103",Public district,K-5,442.0,16:1,Sioux Falls School District 49-5,4,Below average,,1
8138,"Washington High School - 01501 North Sycamore Avenue, Sioux Falls, SD, 57103",Public district,9-12,1939.0,18:1,Sioux Falls School District 49-5,4,Below average,,1
8139,"Discovery Elementary - 261506 South Discovery Avenue, Sioux Falls, SD, 57106",Public district,PK-5,904.0,19:1,Sioux Falls School District 49-5,4,Below average,,1
8140,"Rosa Parks Elementary - 155701 East Red Oak Drive, Sioux Falls, SD, 57110",Public district,K-5,569.0,15:1,Sioux Falls School District 49-5,3,Below average,,1
8141,"Cleveland Elementary - 141000 South Edward Drive, Sioux Falls, SD, 57103",Public district,PK-5,546.0,15:1,Sioux Falls School District 49-5,3,Below average,,1
8263,"Chestnut Accelerated Middle School (Talented And Gifted)355 Plainfield Street, Springfield, MA, 01104",Public district,6-8,316.0,14:1,Springfield School District,8,Above average,,1
8370,"Young Scholars of Central PA CS1530 Westerly Parkway, State College, PA, 16801",Public charter,K-8,389.0,10:1,Young Scholars Of Central Pa Cs,6,Average,,1
8768,"HEDGEPETH WILLIAM MIDDLE SCHOOL301 Gladstone Avenue, Trenton, NJ, 08629",Public district,6-8,611.0,11:1,Trenton Public School District,2,Below average,,1
8779,"Ps 1640 Collins Avenue, Troy, NY, 12180",Public district,K-5,309.0,11:1,Troy City School District,6,Average,,1
8783,"Ps 18412 Hoosick Street, Troy, NY, 12180",Public district,K-5,331.0,11:1,Troy City School District,5,Average,,1
8785,"Ps 141700 Tibbits Avenue, Troy, NY, 12180",Public district,PK-5,630.0,12:1,Troy City School District,4,Below average,,1
8792,"Ps 2470 10th Street, Troy, NY, 12180",Public district,K-5,285.0,10:1,Troy City School District,2,Below average,,1
8877,"Tyler Isd Early College High S2800 West Shaw Street, Tyler, TX, 75701",Public district,9-12,279.0,,Tyler Independent School District,10,Top rated,,1
8897,"Cumberland High S7200 Paluxy Drive, Tyler, TX, 75703",Public charter,9-12,561.0,11:1,Cumberland Academy,4,Below average,,1
9030,"COMPASS ACADEMY CHARTER SCHOOL23 West Chestnut Avenue, Vineland, NJ, 08360",Public charter,K-5,209.0,16:1,Compass Academy Charter School,5,Average,,1
9223,"KIPP DC - Promise Academy PCS4801 Benning Road Southeast, Washington, DC, 20019",Public charter,K-4,520.0,15:1,KIPP DC,10,Top rated,,1
9233,"Washington Yu Ying PCS220 Taylor Street Northeast, Washington, DC, 20017",Public charter,PK-5,579.0,10:1,Washington Yu Ying Pcs,9,Above average,,1
9236,"KIPP DC Quest PCS5300 Blaine Street Northeast, Washington, DC, 20019",Public charter,1-4,391.0,15:1,KIPP DC,8,Above average,,1
9470,"Ruth Clark Elementary K-51900 West 55th Street South, Wichita, KS, 67217",Public district,PK-5,384.0,14:1,Haysville School District,7,Above average,,1
9733,"Carpe Diem Collegiate High School Dba Carpe Diem E3777 West 22nd Lane, Yuma, AZ, 85364",Public charter,6-12,201.0,22:1,Carpe Diem Collegiate High School,5,Average,,1
