,School,Score,Rating,Address,Type,Grades,Total Students Enrolled,Students per teacher,District
514,Foreman High School,1/10,Below average,"3235 North Leclaire Avenue, Chicago, IL, 60641",Public district,9-12,798,14:1,City Of Chicago School District 299
515,White Elementary Career Academy,1/10,Below average,"1136 West 122nd Street, Chicago, IL, 60643",Public district,PK-8,162,14:1,City Of Chicago School District 299
516,Gage Park High School,1/10,Below average,"5630 South Rockwell Street, Chicago, IL, 60629",Public district,9-12,330,13:1,City Of Chicago School District 299
517,Harlan Community Academy High School,1/10,Below average,"9652 South Michigan Avenue, Chicago, IL, 60628",Public district,7-12,382,14:1,City Of Chicago School District 299
518,Harper High School,1/10,Below average,"6520 South Wood Street, Chicago, IL, 60636",Public district,9-12,133,11:1,City Of Chicago School District 299
519,Holmes Elementary School,1/10,Below average,"955 West Garfield Boulevard, Chicago, IL, 60621",Public district,PK-8,162,10:1,City Of Chicago School District 299
520,Howe Elementary School,1/10,Below average,"720 North Lorel Avenue, Chicago, IL, 60644",Public district,PK-8,480,18:1,City Of Chicago School District 299
521,Irving Elementary School,1/10,Below average,"749 South Oakley Boulevard, Chicago, IL, 60612",Public district,PK-8,440,17:1,City Of Chicago School District 299
522,Hirsch Metropolitan High School,1/10,Below average,"7740 South Ingleside Avenue, Chicago, IL, 60619",Public district,9-12,136,11:1,City Of Chicago School District 299
523,Hyde Park Academy High School,1/10,Below average,"6220 South Stony Island Avenue, Chicago, IL, 60637",Public district,9-12,850,16:1,City Of Chicago School District 299
524,Lawndale Elementary Community Academy,1/10,Below average,"3500 West Douglas Boulevard, Chicago, IL, 60623",Public district,PK-8,262,17:1,City Of Chicago School District 299
525,Kelly High School,1/10,Below average,"4136 South California Avenue, Chicago, IL, 60632",Public district,9-12,1881,16:1,City Of Chicago School District 299
526,Kelvyn Park High School,1/10,Below average,"4343 West Wrightwood Avenue, Chicago, IL, 60639",Public district,7-12,459,14:1,City Of Chicago School District 299
527,Smith  W Elementary School,1/10,Below average,"744 East 103rd Street, Chicago, IL, 60628",Public district,PK-8,357,18:1,City Of Chicago School District 299
528,Chicago Vocational Career Academy High School,1/10,Below average,"2100 East 87th Street, Chicago, IL, 60617",Public district,9-12,861,16:1,City Of Chicago School District 299
529,Melody Elementary School,1/10,Below average,"3937 West Wilcox Street, Chicago, IL, 60624",Public district,PK-8,477,15:1,City Of Chicago School District 299
530,Mollison Elementary School,1/10,Below average,"4415 South King Drive, Chicago, IL, 60653",Public district,PK-8,347,15:1,City Of Chicago School District 299
531,Marshall Metropolitan High School,1/10,Below average,"3250 West Adams Street, Chicago, IL, 60624",Public district,9-12,337,12:1,City Of Chicago School District 299
532,Nash Elementary School,1/10,Below average,"4837 West Erie Street, Chicago, IL, 60644",Public district,PK-8,274,16:1,City Of Chicago School District 299
533,Oglesby Elementary School,1/10,Below average,"7646 South Green Street, Chicago, IL, 60620",Public district,PK-8,492,15:1,City Of Chicago School District 299
534,Parker Elementary Community Academy,1/10,Below average,"6800 South Stewart Avenue, Chicago, IL, 60621",Public district,PK-8,497,17:1,City Of Chicago School District 299
535,Bronzeville Lighthouse Chtr Sch,1/10,Below average,"8 West Root Street, Chicago, IL, 60609",Public charter,K-8,197,14:1,Chicago Lighthouse Chtr Sch
536,Revere Elementary School,1/10,Below average,"1010 East 72nd Street, Chicago, IL, 60619",Public district,PK-8,239,19:1,City Of Chicago School District 299
537,Phillips Academy High School,1/10,Below average,"244 East Pershing Road, Chicago, IL, 60653",Public district,9-12,623,14:1,City Of Chicago School District 299
538,Corliss High School,1/10,Below average,"821 East 103rd Street, Chicago, IL, 60628",Public district,9-12,308,11:1,City Of Chicago School District 299
539,Smyth J Elementary School,1/10,Below average,"1059 West 13th Street, Chicago, IL, 60608",Public district,PK-8,463,15:1,City Of Chicago School District 299
540,Stagg Elementary School,1/10,Below average,"7424 South Morgan Street, Chicago, IL, 60621",Public district,PK-8,410,17:1,City Of Chicago School District 299
541,Schurz High School,1/10,Below average,"3601 North Milwaukee Avenue, Chicago, IL, 60641",Public district,9-12,1751,15:1,City Of Chicago School District 299
542,Manley Career Academy High School,1/10,Below average,"2935 West Polk Street, Chicago, IL, 60612",Public district,9-12,118,9:1,City Of Chicago School District 299
543,Lavizzo Elementary School,1/10,Below average,"138 West 109th Street, Chicago, IL, 60628",Public district,PK-8,357,19:1,City Of Chicago School District 299
544,Steinmetz Academic Centre High School,1/10,Below average,"3030 North Mobile Ave, Chicago, IL, 60634",Public district,9-12,1262,16:1,City Of Chicago School District 299
545,Sullivan High School,1/10,Below average,"6631 North Bosworth Avenue, Chicago, IL, 60626",Public district,9-12,730,14:1,City Of Chicago School District 299
546,Tilden Career Communty Academy High School,1/10,Below average,"4747 South Union Avenue, Chicago, IL, 60609",Public district,9-12,249,10:1,City Of Chicago School District 299
547,Yates Elementary School,1/10,Below average,"1839 North Richmond Street, Chicago, IL, 60647",Public district,PK-8,446,11:1,City Of Chicago School District 299
548,Depriest Elementary School,1/10,Below average,"139 South Parkside Avenue, Chicago, IL, 60644",Public district,PK-8,537,14:1,City Of Chicago School District 299
549,Wells Community Academy High School,1/10,Below average,"936 North Ashland Avenue, Chicago, IL, 60622",Public district,9-12,380,12:1,City Of Chicago School District 299
550,Hay Elementary Community Academy,1/10,Below average,"1018 North Laramie Avenue, Chicago, IL, 60651",Public district,PK-8,380,17:1,City Of Chicago School District 299
551,Spry Community Links High School,1/10,Below average,"2400 South Marshall Boulevard, Chicago, IL, 60623",Public district,9-12,131,9:1,City Of Chicago School District 299
552,Claremont Academy Elementary School,1/10,Below average,"2300 West 64th Street, Chicago, IL, 60636",Public district,PK-8,430,13:1,City Of Chicago School District 299
553,Doolittle Elementary School,1/10,Below average,"535 East 35th Street, Chicago, IL, 60616",Public district,PK-8,277,16:1,City Of Chicago School District 299
554,Douglass Academy High School,1/10,Below average,"543 North Waller Avenue, Chicago, IL, 60644",Public district,9-12,101,10:1,City Of Chicago School District 299
555,Multicultural Arts High School,1/10,Below average,"3120 South Kostner Avenue, Chicago, IL, 60623",Public district,9-12,223,12:1,City Of Chicago School District 299
556,Urban Prep Chtr Englewood High School,1/10,Below average,"6201 South Stewart Avenue, Chicago, IL, 60621",Public charter,9-12,260,11:1,City Of Chicago School District 299
557,Barton Elementary School,1/10,Below average,"7650 South Wolcott Avenue, Chicago, IL, 60620",Public district,PK-8,383,14:1,City Of Chicago School District 299
558,Nicholson Technology Acad Elementary School,1/10,Below average,"6006 South Peoria Street, Chicago, IL, 60621",Public district,PK-8,466,14:1,City Of Chicago School District 299
559,Beidler Elementary School,1/10,Below average,"3151 West Walnut Street, Chicago, IL, 60612",Public district,PK-8,444,16:1,City Of Chicago School District 299
560,Bogan High School,1/10,Below average,"3939 West 79th Street, Chicago, IL, 60652",Public district,9-12,778,14:1,City Of Chicago School District 299
561,Bowen High School,1/10,Below average,"2710 East 89th Street, Chicago, IL, 60617",Public district,9-12,294,14:1,City Of Chicago School District 299
562,Collins Academy High School,1/10,Below average,"1313 South Sacramento Drive, Chicago, IL, 60623",Public district,9-12,261,11:1,City Of Chicago School District 299
563,Voise Academy High School,1/10,Below average,"231 North Pine Avenue, Chicago, IL, 60644",Public district,9-12,214,12:1,City Of Chicago School District 299
564,Orr Academy High School,1/10,Below average,"730 North Pulaski Road, Chicago, IL, 60624",Public district,9-12,276,12:1,City Of Chicago School District 299
565,Academy For Global Citizenship,1/10,Below average,"4647 West 47th Street, Chicago, IL, 60632",Public charter,K-8,466,15:1,City Of Chicago School District 299
566,Plato Learning Academy  Elementary School,1/10,Below average,"5545 West Harrison Street, Chicago, IL, 60644",Public district,K-8,387,26:1,City Of Chicago School District 299
567,Brunson Math & Sci Specialty Elementary School,1/10,Below average,"932 North Central Avenue, Chicago, IL, 60651",Public district,PK-8,479,16:1,City Of Chicago School District 299
568,Chalmers Elementary Specialty School,1/10,Below average,"2745 West Roosevelt Road, Chicago, IL, 60608",Public district,PK-8,371,16:1,City Of Chicago School District 299
569,Frances Xavier Warde School,0/10,Currently unrated,"751 North State Street, Chicago, IL, 60654",Private,PK-8,895,N/A,N/A
570,French-American School Of Chicago,0/10,Currently unrated,"615 West Kemper Place, Chicago, IL, 60614",Private,K-12,83,N/A,N/A
571,Gateway Montessori School,0/10,Currently unrated,"4041 N Pulaski Rd., Chicago, IL, 60618",Private,PK-6,63,N/A,N/A
572,Immaculate Conception-St. Joseph School,0/10,Currently unrated,"1431 N North Park Avenue, Chicago, IL, 60610",Private,PK-8,449,N/A,N/A
573,It Takes A Village Early Learning Center,0/10,Currently unrated,"4020 W Division, Chicago, IL, 60651",Private,PK-K,N/A,N/A,N/A
574,Kc's Academy Of Early Childhood Education,0/10,Currently unrated,"837 West Sheridan Road, Chicago, IL, 60613",Private,PK-1,50,N/A,N/A
575,Kid'z Colony,0/10,Currently unrated,"6287 South Archer Avenue, Chicago, IL, 60638",Private,K,119,N/A,N/A
576,Kindercare Learning Center,0/10,Currently unrated,"1501 South State Street, Chicago, IL, 60605",Private,PK-K,42,N/A,N/A
577,Kove Learning Academy,0/10,Currently unrated,"3137 W 71st St, Chicago, IL, 60629",Private,PK-K,N/A,N/A,N/A
578,Lakeview Development Center,0/10,Currently unrated,"1531 W Lawrence Ave, Chicago, IL, 60640",Private,PK-K,N/A,N/A,N/A
579,Little Leaders of Tomorrow,0/10,Currently unrated,"5153 W Lake St, Chicago, IL, 60644",Private,PK-K,N/A,N/A,N/A
580,Little Leaders of Tomorrow Daycare,0/10,Currently unrated,"301 N Mayfield Ave, Chicago, IL, 60644",Private,PK-K,N/A,N/A,N/A
581,Lydia Urban Academy,0/10,Currently unrated,"4300 West Irving Park Road, Chicago, IL, 60641",Private,9-11,17,N/A,N/A
582,McKinley Academy at Lakeside,0/10,Currently unrated,"2929 S Wabash Ave, Chicago, IL, 60616",Public charter,9-12,151,16:1,City Of Chicago School District 299
583,Mother's Touch,0/10,Currently unrated,"2501 W 71st St, Chicago, IL, 60629",Private,PK-K,N/A,N/A,N/A
584,New Direction Academy,0/10,Currently unrated,"8422 S Damen Ave, Chicago, IL, 60620",Private,1-8,N/A,N/A,N/A
585,Panda Montessori Academy,0/10,Currently unrated,"6921 North Ridge Boulevard, Chicago, IL, 60645",Private,PK-K,48,N/A,N/A
586,Renaissance Prep School,0/10,Currently unrated,"719 S State, Chicago, IL, 60605",Private,"3, 9-12",N/A,N/A,N/A
587,South Side Educational Center,0/10,Currently unrated,"720 W 111th St, Chicago, IL, 60628",Private,"K-2, 4-8",N/A,N/A,N/A
588,Young Scholars Developmental Institute Early Learning,0/10,Currently unrated,"3038 West 59th Street, Chicago, IL, 60629",Private,PK-K,70,N/A,N/A
589,Christian Heritage Academy - Chicago Campus,0/10,Currently unrated,"1001 N Crosby St, Chicago, IL, 60610",Private,PK-3,N/A,N/A,N/A
590,CICS Loomis,0/10,Currently unrated,"9535 S. Loomis Avenue, Chicago, IL, 60643",Public charter,K-2,561,19:1,City Of Chicago School District 299
591,Urban Prairie,0/10,Currently unrated,"1310 S Ashland Ave, Chicago, IL, 60608",Private,1-3,128,N/A,N/A
592,City Garden Early Childhood Center,0/10,Currently unrated,"920 W. 19th St., Chicago, IL, 60608",Private,PK,N/A,N/A,N/A
593,York Alternative High School,0/10,Currently unrated,"2700 South California Avenue, Chicago, IL, 60608",Public district,9-12,203,5:1,City Of Chicago School District 299
594,Banner West Academy High School,0/10,Currently unrated,"819 North Leamington Avenue, Chicago, IL, 60651",Public district,9-12,65,25:1,City Of Chicago School District 299
595,Ijla Charter High School,0/10,Currently unrated,"2520 South Western Avenue, Chicago, IL, 60608",Public charter,9-12,86,10:1,City Of Chicago School District 299
596,Pathways In Education High School,0/10,Currently unrated,"3100 West Belmont Avenue, Chicago, IL, 60618",Public district,9-12,885,28:1,City Of Chicago School District 299
597,Dcn Christian Academy,0/10,Currently unrated,"3205 South Austin Boulevard, Chicago, IL, 60644",Private,PK-8,N/A,N/A,N/A
598,New Direction College Preparatory,0/10,Currently unrated,"2750 West Columbus Avenue, Chicago, IL, 60652",Private,PK-12,N/A,N/A,N/A
599,Harriet Jamison College Preparatory Academy,0/10,Currently unrated,"1225 West 108th Place, Chicago, IL, 60643",Private,PK-12,N/A,N/A,N/A
600,Tots Express Learning Center/Express Academy,0/10,Currently unrated,"8950 South Cottage Grove Avenue, Chicago, IL, 60619",Private,PK-K,N/A,N/A,N/A
601,Legacy Connections Vocational School,0/10,Currently unrated,"6360 South Minerva Avenue, Chicago, IL, 60637",Private,9-12,N/A,N/A,N/A
602,Kingdom Connection Academy,0/10,Currently unrated,"Po Box 201755, Chicago, IL, 60620",Private,PK-12,N/A,N/A,N/A
603,Stevens Academy Of Life,0/10,Currently unrated,"1169 West 106th Street, Chicago, IL, 60643",Private,PK-12,N/A,N/A,N/A
604,Creme De La Creme,0/10,Currently unrated,"2230 North Dominick Street, Chicago, IL, 60614",Private,PK-K,N/A,N/A,N/A
605,Pass It On Academy,0/10,Currently unrated,"2914 West 63rd Street, Chicago, IL, 60629",Private,PK-12,N/A,N/A,N/A
606,Resourceful Center Academy Of Scholars,0/10,Currently unrated,"11361 South Forrestville Avenue, Chicago, IL, 60628",Private,PK-6,N/A,N/A,N/A
607,Reaching Out Career Academy,0/10,Currently unrated,"1950 South Saint Louis Avenue, Chicago, IL, 60623",Private,PK-12,N/A,N/A,N/A
608,New Day College Preparatory,0/10,Currently unrated,"5038 West Madison Street, Chicago, IL, 60644",Private,PK-12,N/A,N/A,N/A
609,New Directions Empowerment Academy,0/10,Currently unrated,"7730 South Cottage Grove Avenue, Chicago, IL, 60619",Private,PK-12,N/A,N/A,N/A
610,John Amos George College Preparatory,0/10,Currently unrated,"8736 South Blackstone Avenue, Chicago, IL, 60619",Private,PK-12,N/A,N/A,N/A
611,Worship Academy College Preparatory,0/10,Currently unrated,"1400 South Kolin Avenue, Chicago, IL, 60623",Private,K-12,N/A,N/A,N/A
612,G & L Johnson Career Academy,0/10,Currently unrated,"10648 South Michigan Avenue, Chicago, IL, 60628",Private,PK-6,N/A,N/A,N/A
613,Chance After Chance College Preparatory,0/10,Currently unrated,"309 North Cicero Avenue, Chicago, IL, 60639",Private,PK-8,N/A,N/A,N/A
614,Together In Love Academy,0/10,Currently unrated,"10237 South State Street, Chicago, IL, 60628",Private,PK-8,N/A,N/A,N/A
615,Robert T Walker Leadership Intermediate School,0/10,Currently unrated,"1808 West 99th Street, Chicago, IL, 60643",Private,PK-1,N/A,N/A,N/A
616,Rehoboth Educational Academy,0/10,Currently unrated,"11705 South Michigan Avenue, Chicago, IL, 60628",Private,PK-12,N/A,N/A,N/A
617,Poetic Praize Youth Academy,0/10,Currently unrated,"845 West 69th Street, Chicago, IL, 60621",Private,K-12,N/A,N/A,N/A
618,Greater Pleasant Valley College Preparatory,0/10,Currently unrated,"910 East 83rd Street, Chicago, IL, 60619",Private,PK-12,N/A,N/A,N/A
619,Mountain Of Hope College Preparatory,0/10,Currently unrated,"8004 South May Street, Chicago, IL, 60620",Private,PK-12,N/A,N/A,N/A
620,South Loop Montessori School,0/10,Currently unrated,"47 West Polk Street, Chicago, IL, 60605",Private,PK-K,N/A,N/A,N/A
621,Ambassadors Of Tech And Performing Arts Academy,0/10,Currently unrated,"7859 South Ashland Avenue, Chicago, IL, 60636",Private,PK-12,N/A,N/A,N/A
622,The Shirley Deer Education And Technology Institute,0/10,Currently unrated,"3936 W Roosevelt Rd Fl 2, Chicago, IL, 60624",Private,9-10,N/A,N/A,N/A
623,"Luther High School Math, Science, Fine And Performing Arts",0/10,Currently unrated,"3130 West 87th Street, Chicago, IL, 60652",Private,9-12,N/A,N/A,N/A
624,Greater Mt Avery Prep,0/10,Currently unrated,"10558 South Wentworth Avenue, Chicago, IL, 60628",Private,"1, 4, 7, 11",N/A,N/A,N/A
625,Christ Light World Academy,0/10,Currently unrated,"2405 East 75th Street, Chicago, IL, 60649",Private,"PK-K, 6, 12",N/A,N/A,N/A
626,Chicago Friends School,0/10,Currently unrated,"1246 West Thorndale Avenue, Chicago, IL, 60660",Private,K-5,8,N/A,N/A
627,All Day Montessori,0/10,Currently unrated,"1819 West 99th Street, Chicago, IL, 60643",Private,PK-K,N/A,N/A,N/A
628,New Jerusalem Scholars Academy,0/10,Currently unrated,"7123 South Halsted Street, Chicago, IL, 60621",Private,"K, 3, 5-6",N/A,N/A,N/A
629,Beginners Enrichment Academy,0/10,Currently unrated,"4258 West Iowa Street, Chicago, IL, 60651",Private,PK-12,N/A,N/A,N/A
630,Wisdom Learning Academy,0/10,Currently unrated,"12245 South Perry Avenue, Chicago, IL, 60628",Private,PK-12,N/A,N/A,N/A
631,John Raymond Parker Life House Academy,0/10,Currently unrated,"900 North Waller Avenue, Chicago, IL, 60651",Private,PK-12,N/A,N/A,N/A
632,Excellence In Academic Achievement Academy,0/10,Currently unrated,"9612 South Charles Street, Chicago, IL, 60643",Private,K-12,N/A,N/A,N/A
633,Fresh Anointing Academy Of Excellence,0/10,Currently unrated,"6907 South Ashland Avenue, Chicago, IL, 60636",Private,9-12,N/A,N/A,N/A
634,Empowerment Christian Academy,0/10,Currently unrated,"6446 South Ashland Avenue, Chicago, IL, 60636",Private,PK-8,N/A,N/A,N/A
635,Judah Foundational Community School,0/10,Currently unrated,"856 North Pulaski Road, Chicago, IL, 60651",Private,PK-K,N/A,N/A,N/A
636,Center Of Life Learning Academy,0/10,Currently unrated,"6643 South Ashland Avenue, Chicago, IL, 60636",Private,PK-12,N/A,N/A,N/A
637,Sprout Academy,0/10,Currently unrated,"6738 South Throop Street, Chicago, IL, 60636",Private,PK-6,N/A,N/A,N/A
638,Labor Of Love Performing Arts Academy,0/10,Currently unrated,"9901 South Winston Avenue, Chicago, IL, 60643",Private,PK-8,N/A,N/A,N/A
639,Living Free Center,0/10,Currently unrated,"2158 West Randolph Street, Chicago, IL, 60612",Private,"5, 9, 11",N/A,N/A,N/A
640,World Language Academy Of Scholars,0/10,Currently unrated,"8431 South Escanaba Avenue, Chicago, IL, 60617",Private,PK-3,N/A,N/A,N/A
641,Mount Of Transformation Christian School,0/10,Currently unrated,"4747 South Princeton Avenue, Chicago, IL, 60609",Private,PK-12,N/A,N/A,N/A
642,Corcoran Elementary School,0/10,Currently unrated,"5909 West 63rd Place, Chicago, IL, 60638",Private,1-8,N/A,N/A,N/A
643,Gods Battle Axe Prayer Academy,0/10,Currently unrated,"6969 North Western Avenue, Chicago, IL, 60645",Private,PK-12,N/A,N/A,N/A
644,Operation Restoration Development School,0/10,Currently unrated,"8758 South Peoria Street, Chicago, IL, 60620",Private,PK-12,N/A,N/A,N/A
645,Christ The King Jesuit College Preparatory School,0/10,Currently unrated,"5088 West Jackson Boulevard, Chicago, IL, 60644",Private,9-12,165,N/A,N/A
646,Woodlawn Academy College Preparatory,0/10,Currently unrated,"4817 West Chicago Avenue, Chicago, IL, 60651",Private,PK-12,N/A,N/A,N/A
647,Lordanchild Christian Daycare,0/10,Currently unrated,"3344 West 79th Street, Chicago, IL, 60652",Private,PK-K,N/A,N/A,N/A
648,New Life Community Zone School,0/10,Currently unrated,"3540 West Cermak Road, Chicago, IL, 60623",Private,PK-12,N/A,N/A,N/A
649,Greater Helping Hand Christian Academy,0/10,Currently unrated,"555 East 87th Street, Chicago, IL, 60619",Private,PK-12,N/A,N/A,N/A
650,Love Faith And Praise Academy,0/10,Currently unrated,"6948 South Stewart Avenue, Chicago, IL, 60621",Private,PK-12,N/A,N/A,N/A
651,"British International School of Chicago, Lincoln Park",0/10,Currently unrated,"814 W. Eastman, Chicago, IL, 60642",Private,PK-5,N/A,N/A,N/A
652,Pnuema Institute,0/10,Currently unrated,"400 West 76th Street, Chicago, IL, 60620",Private,9-11,N/A,N/A,N/A
653,Just For Kids,0/10,Currently unrated,"5036 South Blackstone Avenue, Chicago, IL, 60615",Private,PK-K,N/A,N/A,N/A
654,Just For Kids,0/10,Currently unrated,"11024 South Bell Avenue, Chicago, IL, 60643",Private,PK-K,N/A,N/A,N/A
655,Cs Academy,0/10,Currently unrated,"1443 West 63rd Street, Chicago, IL, 60636",Private,PK-12,N/A,N/A,N/A
656,The Cambridge School Chicago,0/10,Currently unrated,"4611 South Ellis Avenue, Chicago, IL, 60653",Private,PK-6,N/A,N/A,N/A
657,Educate Empower Academy,0/10,Currently unrated,"12900 South Halsted Street, Chicago, IL, 60628",Private,PK-5,N/A,N/A,N/A
658,Holman Leadership Academy,0/10,Currently unrated,"7100 South South Shore Drive, Chicago, IL, 60649",Private,PK-6,N/A,N/A,N/A
659,GCE Lab School,0/10,Currently unrated,"9 West Washington St., Fourth Floor, Chicago, IL, 60642",Private,9-12,N/A,N/A,N/A
660,German International School Chicago,0/10,Currently unrated,"1726 West Berteau Avenue, Chicago, IL, 60613",Private,PK-8,97,N/A,N/A
661,Concordia Place,0/10,Currently unrated,"3300 N. Whipple, Chicago, IL, 60618",Private,PK,N/A,N/A,N/A
662,KAM Isaiah Israel Nursery School,0/10,Currently unrated,"1100 E Hyde Park Blvd, Chicago, IL, 60615",Private,PK,N/A,N/A,N/A
663,Bennett Day School,0/10,Currently unrated,"955 W Grand Ave, Chicago, IL, 60642",Private,PK-12,N/A,N/A,N/A
664,Solon Bilingual Prep,0/10,Currently unrated,"2727 W. Winona Avenue, Chicago, IL, 60625",Private,PK,N/A,N/A,N/A
665,It Takes A Village at River City,0/10,Currently unrated,"800 S Wells St, Suite 180, Chicago, IL, 60607",Private,PK,N/A,N/A,N/A
666,Vera Thomas Preschool Center,0/10,Currently unrated,"6450 South Cottage Grove Avenue, Chicago, IL, 60637",Private,PK-K,22,N/A,N/A
667,Childrens House Of Miss Tammie,0/10,Currently unrated,"5480 South Kenwood Avenue, Chicago, IL, 60615",Private,PK-1,21,N/A,N/A
668,Misericordia School,0/10,Currently unrated,"2060 West Granville Avenue, Chicago, IL, 60659",Private,Ungraded,8,N/A,N/A
669,Montessori Academy Of Chicago,0/10,Currently unrated,"1335 West Randolph Street, Chicago, IL, 60607",Private,PK-8,288,N/A,N/A
670,Torah Montessori School,0/10,Currently unrated,"2800 West North Shore Avenue, Chicago, IL, 60645",Private,Ungraded,65,N/A,N/A
671,Tzemach Tzedek School,0/10,Currently unrated,"6135 North Sacramento Avenue, Chicago, IL, 60659",Private,PK-K,22,N/A,N/A
672,Children Rendez Vous,0/10,Currently unrated,"5492 South Everett Avenue, Chicago, IL, 60615",Private,K-8,32,N/A,N/A
673,Higher Learning Daycare & Education Center,0/10,Currently unrated,"2526 East 73rd Street, Chicago, IL, 60619",Private,PK-K,36,N/A,N/A
674,Jellybean Learning Center,0/10,Currently unrated,"8501 South Ashland Avenue, Chicago, IL, 60620",Private,PK-K,42,N/A,N/A
675,The World Is Yours Child Care & Learning Center In,0/10,Currently unrated,"8026 South Cottage Grove Avenue, Chicago, IL, 60619",Private,PK-K,22,N/A,N/A
676,Montessori Learning Center Of Edison Park,0/10,Currently unrated,"6740 North Oliphant Avenue, Chicago, IL, 60631",Private,PK-K,75,N/A,N/A
677,The Gardner School of Chicago - West Loop,0/10,Currently unrated,"1301 West Madison Street, Chicago, IL, 60607",Private,PK,N/A,N/A,N/A
678,Bright Horizons at River East,0/10,Currently unrated,"325 East Grand Avenue, Chicago, IL, 60611",Private,PK,N/A,N/A,N/A
679,Chicago Excel Academy High School,0/10,Currently unrated,"1257 West 111th Street, Chicago, IL, 60643",Public district,9-12,281,21:1,City Of Chicago School District 299
680,KIPP Create College Prep,0/10,Currently unrated,"4818 West Ohio Street, Chicago, IL, 60644",Public charter,K-8,1685,16:1,City Of Chicago School District 299
681,Creative Scholars Preschool,0/10,Currently unrated,"1735 North Elston Ave, Chicago, IL, 60642",Private,PK,N/A,N/A,N/A
682,Del Mattino Montessori School,0/10,Currently unrated,"2449 W Peterson Avenue, Chicago, IL, 60659",Private,PK,N/A,N/A,N/A
683,Little Green Oak,0/10,Currently unrated,"2820 North Narragansett Avenue, Chicago, IL, 60634",Private,PK,N/A,N/A,N/A
684,Janet's Day Care & Learning Center,0/10,Currently unrated,"5897 North Elston Avenue, Chicago, IL, 60646",Private,PK,N/A,N/A,N/A
685,Children International Academy,0/10,Currently unrated,"5858 West Roosevelt Road, Chicago, IL, 60644",Private,PK,N/A,N/A,N/A
686,Kids In Harmony Day School,0/10,Currently unrated,"4328 North Milwaukee Avenue, Chicago, IL, 60641",Private,PK-K,N/A,N/A,N/A
687,Joyful Noise Christian Dcc,0/10,Currently unrated,"4243 West North Avenue, Chicago, IL, 60639",Private,PK,N/A,N/A,N/A
688,Precious Little One's Lc,0/10,Currently unrated,"Po Box 377589, Chicago, IL, 60637",Private,PK,N/A,N/A,N/A
689,Love Is Caring Day Care Center,0/10,Currently unrated,"6732 South Bell Avenue, Chicago, IL, 60636",Private,PK,N/A,N/A,N/A
690,Happy Kids Learning Center,0/10,Currently unrated,"4545 North Kedzie Avenue, Chicago, IL, 60625",Private,PK,N/A,N/A,N/A
691,Westside Youth Technical Dcc,0/10,Currently unrated,"4211 West Madison Street, Chicago, IL, 60624",Private,PK,N/A,N/A,N/A
692,All About Kids Learning Academy,0/10,Currently unrated,"514 East 75th Street, Chicago, IL, 60619",Private,PK,N/A,N/A,N/A
693,Children's Garden Cdc,0/10,Currently unrated,"2938 East 91st Street, Chicago, IL, 60617",Private,PK,N/A,N/A,N/A
694,Hyde Park Learning Resrce Center,0/10,Currently unrated,"5114 South Dorchester Avenue, Chicago, IL, 60615",Private,PK,N/A,N/A,N/A
695,Schubert Pre-K Ii,0/10,Currently unrated,"2957 North Hoyne Avenue, Chicago, IL, 60618",Private,PK,N/A,N/A,N/A
696,Gads Hill Center After School,0/10,Currently unrated,"1919 West Cullerton Street, Chicago, IL, 60608",Private,PK,N/A,N/A,N/A
697,Jcys Lakeview Family Center,0/10,Currently unrated,"957 West Grace Street, Chicago, IL, 60613",Private,PK,N/A,N/A,N/A
698,Ezzard Charles Montessori,0/10,Currently unrated,"7946 South Ashland Avenue, Chicago, IL, 60620",Private,PK-K,N/A,N/A,N/A
699,Better Boys Foundation Pgrm,0/10,Currently unrated,"1512 South Pulaski Road, Chicago, IL, 60623",Private,PK,N/A,N/A,N/A
700,Little Scholars,0/10,Currently unrated,"6116 West Irving Park Road, Chicago, IL, 60634",Private,PK,N/A,N/A,N/A
701,Lutheran Social Services In Il,0/10,Currently unrated,"1500 North Mason Avenue, Chicago, IL, 60651",Private,PK,N/A,N/A,N/A
702,Toddler Town Day Care Too,0/10,Currently unrated,"5934 West Diversey Avenue, Chicago, IL, 60639",Private,PK,N/A,N/A,N/A
703,Bgcc Ida Mae Fletcher Family Life,0/10,Currently unrated,"550 West Van Buren Street, Chicago, IL, 60607",Private,PK,N/A,N/A,N/A
704,Kennedy King College Head Start,0/10,Currently unrated,"710 West 65th Street, Chicago, IL, 60621",Private,PK,N/A,N/A,N/A
705,Tiny Tots Villa Head Start,0/10,Currently unrated,"8128 South King Drive, Chicago, IL, 60619",Private,PK,N/A,N/A,N/A
706,Lincoln Park Pre-School,0/10,Currently unrated,"312 West Belden Avenue, Chicago, IL, 60614",Private,PK-K,N/A,N/A,N/A
707,Center School Horizon Head Start,0/10,Currently unrated,"3901 South State Street, Chicago, IL, 60609",Private,PK,N/A,N/A,N/A
708,Mcnair Head Start,0/10,Currently unrated,"4820 West Walton Street, Chicago, IL, 60651",Private,PK,N/A,N/A,N/A
709,Fresh Start Day Care Center,0/10,Currently unrated,"6924 West North Avenue, Chicago, IL, 60707",Private,PK,N/A,N/A,N/A
710,Sprouts Academy,0/10,Currently unrated,"350 West Ontario Street, Chicago, IL, 60654",Private,PK,N/A,N/A,N/A
711,Little Einsteinss Day Care,0/10,Currently unrated,"3640 West Wrightwood Avenue #3644, Chicago, IL, 60647",Private,PK,N/A,N/A,N/A
