,Job Title,Company,Location,Posting Date,Extract Date,Summary,Salary,Job Url,id
1106,"Senior Tax Accountant, Sales & Use Tax",Securitas USA - Corporate Services,"Parsippany, NJ",Active 20 days ago,2021-03-23,"Excellent planning, organization and time management skills.
Reporting to the Sales Tax Manager, this position will be responsible for the preparation of sales…",,https://www.indeed.com/company/Securitas/jobs/Senior-Tax-Accountant-bce6099f7a8c4aeb?fccid=842ec1ced0fea1d5&vjs=3,1106
1107,"Alternative Investments Accountant, Senior - Hackensack, NJ",U.S. Bank,"Hackensack, NJ",27 days ago,2021-03-23,"Records trade information, income/expense activity and applies valuation of securities in the portfolio accounting system.",,https://www.indeed.com/rc/clk?jk=a5c903a23a41b804&fccid=ae5bfc395c530fbc&vjs=3,1107
1108,Senior Revenue Accounting Manager,Sprinklr,"New York, NY",30+ days ago,2021-03-23,"We empower entire organizations to work together – across marketing, advertising, research, commerce, and customer care – to manage customer experience at scale…",,https://www.indeed.com/rc/clk?jk=2cb0adcd787f05fb&fccid=4fd082a45bed2681&vjs=3,1108
1109,(Senior) Audit Associate - Operational and Financial Assurance,Siemens,"Iselin, NJ",30+ days ago,2021-03-23,"Controlling and Finance Assurance (CF A) helps Siemens achieve its goals by providing objective, factual and independent assurance to the Siemens Managing Board…",,https://www.indeed.com/rc/clk?jk=02ae7f383657c7d8&fccid=3b89b9ec324f96c8&vjs=3,1109
1110,Senior Audit Manager - Risk Governance,Citi,"New York, NY",22 days ago,2021-03-23,"The Risk Governance organization is responsible for activities ranging from firm-wide frameworks, processes and practices that are integral and fundamental to…",,https://www.indeed.com/rc/clk?jk=c12546b3d5c2e362&fccid=5bcd1ef0a7f4fb99&vjs=3,1110
1111,"Senior Risk Consultant, Internal Audit",Mazars USA,"New York, NY",30+ days ago,2021-03-23,"Understands engagement and project planning.
Contributes to work planning and status reporting on assigned engagements.
Business Development, and Firm Growth.",,https://www.indeed.com/rc/clk?jk=58701471414ffd8e&fccid=cf80abde47d3bd81&vjs=3,1111
1112,Senior Accountant - Tax,Buckno Lisicky & Company,"Cedar Knolls, NJ",30+ days ago,2021-03-23,"Preparation of corporate and individual tax returns.
Research and handle assignments involving tax theory and concepts.
Handle client calls and requests.",,https://www.indeed.com/rc/clk?jk=5dfb9d62faeb6443&fccid=c1996dbf7e3d1103&vjs=3,1112
1113,Sr. Accountant,Tapestry,"North Bergen, NJ",5 days ago,2021-03-23,"Managerial Courage: Doesn’t hold back anything that needs to be said; provides current, direct, complete, and “actionable” positive and corrective feedback to…",,https://www.indeed.com/rc/clk?jk=a5105cff1f0d62be&fccid=4b0e713ef50478fa&vjs=3,1113
1114,Senior Accountant (3-5 years’ experience),Traphagen CPAs & Wealth Advisors,"Oradell, NJ",25 days ago,2021-03-23,"Identify and execute tax planning opportunities.
Bachelor's degree in Accounting, Master's degree a plus • Minimum 3 - 5 years of public accounting experience •…",,https://www.indeed.com/rc/clk?jk=4e6bc661f29d01c9&fccid=d25de26f57b9bbc0&vjs=3,1114
1115,"Financial Accounting Advisory Services, Senior Manager",Accordion Partners,"New York, NY",20 days ago,2021-03-23,"Act as the firm representative during client engagements.
Assist in growing the firm by supporting business development activities.",,https://www.indeed.com/rc/clk?jk=1c6f4885d89f209d&fccid=5b2a641dc6b8f5cc&vjs=3,1115
