Unnamed: 0,School,Score,Rating,Address,Type,Grades,Total Students Enrolled,Students per teacher,District,City,State,High School (9-12),Middle School (6-8),Elementary (K-5),Pre-Kindergarten (PK)
4344,Living Word Christian Academy,0,Currently unrated,"6520 Arizona Ave, Los Angeles, CA, 90045",Private,9-11,0.0,,Unavailable,Los Angeles,CA,1,0,0,0
4345,New Horizon School Westside,0,Currently unrated,"1819 Sawtelle Boulevard, Los Angeles, CA, 90025",Private,K-5,91.0,,Unavailable,Los Angeles,CA,0,0,1,0
4346,Page Private-Hancock Park,0,Currently unrated,"565 North Larchmont Boulevard, Los Angeles, CA, 90004",Private,K-5,124.0,,Unavailable,Los Angeles,CA,0,0,1,0
4347,Concordia School - Granada Hills,0,Currently unrated,"16603 San Fernando Mission Boulevard, Los Angeles, CA, 91344",Private,K-6,58.0,,Unavailable,Los Angeles,CA,0,1,1,0
4348,San Fernando Valley Academy,0,Currently unrated,"17601 Lassen Street, Los Angeles, CA, 91325",Private,K-12,123.0,,Unavailable,Los Angeles,CA,1,1,1,0
4349,St. Brendan,0,Currently unrated,"238 South Manhattan Place, Los Angeles, CA, 90004",Private,K-8,304.0,,Unavailable,Los Angeles,CA,0,1,1,0
4350,ABC Educational Center,0,Currently unrated,"1129 Cole Ave, Los Angeles, CA, 90038",Private,K,0.0,,Unavailable,Los Angeles,CA,0,0,1,0
4351,Ribet Academy College Preparatory,0,Currently unrated,"2911 North San Fernando Road, Los Angeles, CA, 90065",Private,PK-12,415.0,,Unavailable,Los Angeles,CA,1,1,1,1
4352,St. Anastasia Catholic School,0,Currently unrated,"8631 South Stanmoor Drive, Los Angeles, CA, 90045",Private,PK-8,309.0,,Unavailable,Los Angeles,CA,0,1,1,1
4353,Cheder Of Los Angeles,0,Currently unrated,"801 North La Brea Avenue, Los Angeles, CA, 90038",Private,K-8,365.0,,Unavailable,Los Angeles,CA,0,1,1,0
4354,Shalhevet High School,0,Currently unrated,"910 South Fairfax Avenue, Los Angeles, CA, 90036",Private,9-12,224.0,,Unavailable,Los Angeles,CA,1,0,0,0
4355,Rolling Hills Preparatory School,0,Currently unrated,"One Rolling Hills Prep Way, Los Angeles, CA, 90732",Private,6-12,184.0,,Unavailable,Los Angeles,CA,1,1,0,0
4356,Nelson Christian Elementary School,0,Currently unrated,"10531 S Western Ave, Los Angeles, CA, 90047",Private,PK-5,0.0,,Unavailable,Los Angeles,CA,0,0,1,1
4357,Crenshaw Tot Academy,0,Currently unrated,"5148 Crenshaw Boulevard, Los Angeles, CA, 90043",Private,K-5,16.0,,Unavailable,Los Angeles,CA,0,0,1,0
4358,The Neilson Academy,0,Currently unrated,"2528 Canyon Drive, Los Angeles, CA, 90068",Private,1-12,11.0,,Unavailable,Los Angeles,CA,1,1,1,0
4359,Rejoyce In Jesus Christian School,0,Currently unrated,"1304 S Cochran Ave., Los Angeles, CA, 90047",Private,K-8,19.0,,Unavailable,Los Angeles,CA,0,1,1,0
4360,Sage Academy,0,Currently unrated,"5901 Lindley Avenue, Los Angeles, CA, 91356",Private,PK-1,98.0,,Unavailable,Los Angeles,CA,0,0,1,1
4361,Immaculate Heart High And Middle School,0,Currently unrated,"5515 Franklin Avenue, Los Angeles, CA, 90028",Private,6-12,689.0,,Unavailable,Los Angeles,CA,1,1,0,0
4362,Soledad Enrichment Action Charter High School,0,Currently unrated,"222 North Virgil Avenue, Los Angeles, CA, 90004",Public charter,9-12,759.0,23:1,Los Angeles County Office Of Education School District,Los Angeles,CA,1,0,0,0
4363,Our Mother Of Good Counsel,0,Currently unrated,"4622 Ambrose Avenue, Los Angeles, CA, 90027",Private,K-8,137.0,,Unavailable,Los Angeles,CA,0,1,1,0
4364,Santa Teresita School,0,Currently unrated,"2646 Zonal Avenue, Los Angeles, CA, 90033",Private,K-8,239.0,,Unavailable,Los Angeles,CA,0,1,1,0
4365,Saint Thomas The Apostle,0,Currently unrated,"2632 West 15th Street, Los Angeles, CA, 90006",Private,K-8,289.0,,Unavailable,Los Angeles,CA,0,1,1,0
4366,St. John the Evangelist School,0,Currently unrated,"6103 Crenshaw Boulevard, Los Angeles, CA, 90043",Private,K-8,0.0,,Unavailable,Los Angeles,CA,0,1,1,0
4367,Precious Blood,0,Currently unrated,"307 South Occidental Boulevard, Los Angeles, CA, 90057",Private,K-8,125.0,,Unavailable,Los Angeles,CA,0,1,1,0
4368,Saint Paul the Apostle School,0,Currently unrated,"1536 Selby Ave., Los Angeles, CA, 90024",Private,K-8,542.0,,Unavailable,Los Angeles,CA,0,1,1,0
4369,"Village School, Inc.",0,Currently unrated,"780 Swarthmore Avenue, Los Angeles, CA, 90272",Private,K-6,290.0,,Unavailable,Los Angeles,CA,0,1,1,0
4370,Rainbow Montessori,0,Currently unrated,"8432 Foothill Boulevard, Los Angeles, CA, 91040",Private,PK-K,33.0,,Unavailable,Los Angeles,CA,0,0,1,1
4371,Montessori House Of Children,0,Currently unrated,"6252 Woodman Avenue, Los Angeles, CA, 91401",Private,PK-1,38.0,,Unavailable,Los Angeles,CA,0,0,1,1
4372,New World Montessori School,0,Currently unrated,"10520 Regent Street, Los Angeles, CA, 90034",Private,K-6,143.0,,Unavailable,Los Angeles,CA,0,1,1,0
4373,Adat Y'shua Academy - Woodland Hills,0,Currently unrated,"Po Box 814, Los Angeles, CA, 91365",Private,2-9,6.0,,Unavailable,Los Angeles,CA,1,1,1,0
4374,"Crawford Academy, The",0,Currently unrated,"14530 Sylvan Street, Los Angeles, CA, 91411",Private,6-12,13.0,,Unavailable,Los Angeles,CA,1,1,0,0
4375,DC Academy,0,Currently unrated,"2301 Bellevue Avenue, Los Angeles, CA, 90026",Private,9-12,24.0,,Unavailable,Los Angeles,CA,1,0,0,0
4376,Lycee International De Los Angeles-Wv,0,Currently unrated,"5933 Lindley Avenue, Los Angeles, CA, 91356",Private,K-5,97.0,,Unavailable,Los Angeles,CA,0,0,1,0
4377,West Valley Christian School,0,Currently unrated,"22450 Sherman Way, Los Angeles, CA, 91307",Private,PK-8,279.0,,Unavailable,Los Angeles,CA,0,1,1,1
4378,Wise School,0,Currently unrated,"15500 Stephen S Wise Drive, Los Angeles, CA, 90077",Private,PK-6,391.0,,Unavailable,Los Angeles,CA,0,1,1,1
4379,Eagle Rock Montessori School,0,Currently unrated,"1439 Colorado Blvd, Los Angeles, CA, 90041",Private,PK-K,0.0,,Unavailable,Los Angeles,CA,0,0,1,1
4380,Roenne's School,0,Currently unrated,"4701 West Washington Boulevard, Los Angeles, CA, 90016",Private,PK-K,22.0,,Unavailable,Los Angeles,CA,0,0,1,1
4381,Golden Day Schools,0,Currently unrated,"4508 Crenshaw Boulevard, Los Angeles, CA, 90043",Private,K-8,0.0,,Unavailable,Los Angeles,CA,0,1,1,0
4382,Cleophas Oliver Learning Academy,0,Currently unrated,"1902 West Florence Avenue, Los Angeles, CA, 90047",Private,K-5,40.0,,Unavailable,Los Angeles,CA,0,0,1,0
4383,The Learning Center,0,Currently unrated,"16944 Ventura Boulevard, Los Angeles, CA, 91316",Private,4-12,14.0,,Unavailable,Los Angeles,CA,1,1,1,0
4384,Bridges Academy,0,Currently unrated,"3921 Laurel Canyon Boulevard, Los Angeles, CA, 91604",Private,4-12,169.0,,Unavailable,Los Angeles,CA,1,1,1,0
4385,American Montessori Preschool & Elementary,0,Currently unrated,"4817 Eagle Rock Boulevard, Los Angeles, CA, 90041",Private,PK-K,30.0,,Unavailable,Los Angeles,CA,0,0,1,1
4386,West Hills Montessori,0,Currently unrated,"24373 Vanowen Street, Los Angeles, CA, 91307",Private,K-2,11.0,,Unavailable,Los Angeles,CA,0,0,1,0
4387,Youth Opportunities Unlimited School,0,Currently unrated,"915 West Manchester Avenue, Los Angeles, CA, 90044",Public district,9-12,253.0,18:1,Los Angeles Unified School District,Los Angeles,CA,1,0,0,0
4388,Lafayette Park Primary Center,0,Currently unrated,"310 South La Fayette Park Place, Los Angeles, CA, 90057",Public district,K,81.0,27:1,Los Angeles Unified School District,Los Angeles,CA,0,0,1,0
4389,Puente Charter School,0,Currently unrated,"501 South Boyle Avenue, Los Angeles, CA, 90033",Public charter,K-5,112.0,28:1,Los Angeles Unified School District,Los Angeles,CA,0,0,1,0
4390,Star Prep Academy,0,Currently unrated,"9000 Overland Avenue, Los Angeles, CA, 90035",Private,6-12,49.0,,Unavailable,Los Angeles,CA,1,1,0,0
4391,Richard Riordan Primary Center,0,Currently unrated,"5531 Monte Vista Street, Los Angeles, CA, 90042",Public district,K-1,199.0,22:1,Los Angeles Unified School District,Los Angeles,CA,0,0,1,0
4392,Benjamin Banneker Special Education Center,0,Currently unrated,"14024 South San Pedro Street, Los Angeles, CA, 90061",Public district,9-12,175.0,8:1,Los Angeles Unified School District,Los Angeles,CA,1,0,0,0
4393,James J. Mcbride Special Education Center,0,Currently unrated,"3960 Centinela Avenue, Los Angeles, CA, 90066",Public district,6-12,123.0,10:1,Los Angeles Unified School District,Los Angeles,CA,1,1,0,0
4394,Sophia T. Salvin Special Education Center,0,Currently unrated,"1925 Budlong Avenue, Los Angeles, CA, 90007",Public district,K-8,107.0,8:1,Los Angeles Unified School District,Los Angeles,CA,0,1,1,0
4395,Frank Lanterman School,0,Currently unrated,"2328 Saint James Place, Los Angeles, CA, 90007",Public district,6-12,26.0,7:1,Los Angeles Unified School District,Los Angeles,CA,1,1,0,0
4396,Centers Of Learning,0,Currently unrated,"8854 Haskell Avenue, Los Angeles, CA, 91343",Private,PK-12,94.0,,Unavailable,Los Angeles,CA,1,1,1,1
4397,Crenshaw Montessori Academy,0,Currently unrated,"4914 Crenshaw Boulevard, Los Angeles, CA, 90043",Private,PK-K,32.0,,Unavailable,Los Angeles,CA,0,0,1,1
4398,Kinder Kids Christian Preschool,0,Currently unrated,"5353 West Pico Blvd, Los Angeles, CA, 90019",Private,PK-K,0.0,,Unavailable,Los Angeles,CA,0,0,1,1
4399,Marie Fegan Schools,0,Currently unrated,"8477 South Normandie Avenue, Los Angeles, CA, 90044",Private,K-1,0.0,,Unavailable,Los Angeles,CA,0,0,1,0
4400,Los Angeles Adventist Academy,0,Currently unrated,"846 East El Segundo Boulevard, Los Angeles, CA, 90059",Private,K-12,153.0,,Unavailable,Los Angeles,CA,1,1,1,0
4401,Cuddles Creative Child Care,0,Currently unrated,"13416 Avalon Boulevard, Los Angeles, CA, 90061",Private,PK-K,25.0,,Unavailable,Los Angeles,CA,0,0,1,1
4402,Le Lycee Francais De Los Angeles,0,Currently unrated,"10361 West Pico Boulevard, Los Angeles, CA, 90064",Private,K-1,116.0,,Unavailable,Los Angeles,CA,0,0,1,0
4403,Al Madinah School,0,Currently unrated,"3510 Exposition Boulevard, Los Angeles, CA, 90018",Private,K-11,31.0,,Unavailable,Los Angeles,CA,1,1,1,0
4404,French Nursery School,0,Currently unrated,"5262 Fountain Avenue, Los Angeles, CA, 90029",Private,PK-K,24.0,,Unavailable,Los Angeles,CA,0,0,1,1
4405,Little Wonders Montessori House Of Children,0,Currently unrated,"20550 Roscoe Boulevard, Los Angeles, CA, 91306",Private,PK-K,61.0,,Unavailable,Los Angeles,CA,0,0,1,1
4406,Kidsville Usa,0,Currently unrated,"8464 Corbin Avenue, Los Angeles, CA, 91324",Private,PK-K,22.0,,Unavailable,Los Angeles,CA,0,0,1,1
4407,Canyon Oaks School,0,Currently unrated,"1414 North Catalina Street, Los Angeles, CA, 90027",Private,8-12,4.0,,Unavailable,Los Angeles,CA,1,1,0,0
4408,Laurence School,0,Currently unrated,"13639 Victory Boulevard, Los Angeles, CA, 91401",Private,K-6,345.0,,Unavailable,Los Angeles,CA,0,1,1,0
4409,"Wesley School, The",0,Currently unrated,"4832 Tujunga Avenue, Los Angeles, CA, 91601",Private,K-8,291.0,,Unavailable,Los Angeles,CA,0,1,1,0
4410,Valley Montessori School,0,Currently unrated,"10816 Calvert Street, Los Angeles, CA, 91606",Private,PK-5,41.0,,Unavailable,Los Angeles,CA,0,0,1,1
4411,King Learning Academy,0,Currently unrated,"2250 S Crenshaw Blvd, Los Angeles, CA, 90016",Private,PK-4,0.0,,Unavailable,Los Angeles,CA,0,0,1,1
4412,Fresh Start Child Development Center,0,Currently unrated,"7867 Crenshaw Boulevard, Los Angeles, CA, 90043",Private,PK,0.0,,Unavailable,Los Angeles,CA,0,0,0,1
4413,Ccdc Of Little Angels,0,Currently unrated,"3808 West 54th Street, Los Angeles, CA, 90043",Private,K-7,28.0,,Unavailable,Los Angeles,CA,0,1,1,0
4414,Aloha School,0,Currently unrated,"5042 Venice Boulevard, Los Angeles, CA, 90019",Private,PK,0.0,,Unavailable,Los Angeles,CA,0,0,0,1
4415,Linden School,0,Currently unrated,"812 North Fairfax Avenue, Los Angeles, CA, 90046",Private,K-12,41.0,,Unavailable,Los Angeles,CA,1,1,1,0
4416,Little Lamb-Lamb of God Christian School,0,Currently unrated,"3717 South La Brea Avenue, Los Angeles, CA, 90016",Private,10-12,3.0,,Unavailable,Los Angeles,CA,1,0,0,0
4417,Adventure Planet Montessori Learning Center,0,Currently unrated,"6104 Fallbrook Avenue, Los Angeles, CA, 91367",Private,PK-K,70.0,,Unavailable,Los Angeles,CA,0,0,1,1
4418,Los Angeles Computer Science Academy,0,Currently unrated,"2209 East 118th Street, Los Angeles, CA, 90059",Private,K-12,57.0,,Unavailable,Los Angeles,CA,1,1,1,0
4419,Lycée International de Los Angeles - Los Feliz campus,0,Currently unrated,"4155 Russell Avenue, Los Angeles, CA, 90027",Private,PK-5,313.0,,Unavailable,Los Angeles,CA,0,0,1,1
4420,Kris 'N Kay Nursery School,0,Currently unrated,"200 S Manhattan Pl, Los Angeles, CA, 90004",Private,PK,0.0,,Unavailable,Los Angeles,CA,0,0,0,1
4421,The Alexandria Academy,0,Currently unrated,"5776-D Lindero Canyon Rd. #353, Los Angeles, CA, 91364",Private,3-12,35.0,,Unavailable,Los Angeles,CA,1,1,1,0
4422,Ambassadors for Christ Christian School,0,Currently unrated,"1400 West 104th Street, Los Angeles, CA, 90047",Private,K-12,0.0,,Unavailable,Los Angeles,CA,1,1,1,0
4423,Shomrei Torah Synagogue Early Childhood Education,0,Currently unrated,"7353 Valley Circle Boulevard, Los Angeles, CA, 91304",Private,PK-K,76.0,,Unavailable,Los Angeles,CA,0,0,1,1
4424,Sunflower Montessori School,0,Currently unrated,"15520 Sherman Way, Los Angeles, CA, 91406",Private,PK-K,36.0,,Unavailable,Los Angeles,CA,0,0,1,1
4425,Little Rainbow Children's Center,0,Currently unrated,"7419 S Normandie Ave, Los Angeles, CA, 90044",Private,PK-K,0.0,,Unavailable,Los Angeles,CA,0,0,1,1
4426,De La Salle,0,Currently unrated,"16535 Chatsworth Street, Los Angeles, CA, 91344",Private,K-8,383.0,,Unavailable,Los Angeles,CA,0,1,1,0
4427,My First School Of Chris,0,Currently unrated,"25405 South Normandie Avenue, Los Angeles, CA, 90710",Private,PK-K,19.0,,Unavailable,Los Angeles,CA,0,0,1,1
4428,Nishi Hongwanji Child Development Center,0,Currently unrated,"815 East 1st Street, Los Angeles, CA, 90012",Private,PK-K,42.0,,Unavailable,Los Angeles,CA,0,0,1,1
4429,Little Scholars Montessori School,0,Currently unrated,"18706 Hatteras Street, Los Angeles, CA, 91356",Private,PK-K,36.0,,Unavailable,Los Angeles,CA,0,0,1,1
4430,Pacifica Montessori School,0,Currently unrated,"3734 South Centinela Avenue, Los Angeles, CA, 90066",Private,PK-K,35.0,,Unavailable,Los Angeles,CA,0,0,1,1
4431,Mary's Schoolhouse,0,Currently unrated,"1334 L Ron Hubbard Way, Los Angeles, CA, 90027",Private,"K-7, 12",0.0,,Unavailable,Los Angeles,CA,1,1,1,0
4432,Marcus Garvey  Elementary And Preschool,0,Currently unrated,"5760 6th Avenue, Los Angeles, CA, 90043",Private,K-8,52.0,,Unavailable,Los Angeles,CA,0,1,1,0
4433,West Valley Montessori,0,Currently unrated,"20211 Saticoy Street, Los Angeles, CA, 91306",Private,PK-K,35.0,,Unavailable,Los Angeles,CA,0,0,1,1
4434,Nativity Elementary School,0,Currently unrated,"944 W. 56th Street, Los Angeles, CA, 90037",Private,K-8,309.0,,Unavailable,Los Angeles,CA,0,1,1,0
4435,New Covenant Academy,0,Currently unrated,"3119 W. 6th Street, Los Angeles, CA, 90020",Private,K-12,174.0,,Unavailable,Los Angeles,CA,1,1,1,0
4436,Perry-Meadows Learning Center,0,Currently unrated,"1986 West Jefferson Boulevard, Los Angeles, CA, 90018",Private,K,29.0,,Unavailable,Los Angeles,CA,0,0,1,0
4437,Cahuenga Nursery School & Kindergarten,0,Currently unrated,"5554 Cahuenga Boulevard, Los Angeles, CA, 91601",Private,PK-K,22.0,,Unavailable,Los Angeles,CA,0,0,1,1
4438,Communion Christian Academy,0,Currently unrated,"4729 West Slauson Avenue, Los Angeles, CA, 90056",Private,PK-K,0.0,,Unavailable,Los Angeles,CA,0,0,1,1
4439,Lac+Usc Employees Childrens Center,0,Currently unrated,"1401 North Mission Road, Los Angeles, CA, 90033",Private,PK-K,29.0,,Unavailable,Los Angeles,CA,0,0,1,1
4440,Oakwood Elementary School,0,Currently unrated,"11230 Moorpark Street, Los Angeles, CA, 91602",Private,K-6,305.0,,Unavailable,Los Angeles,CA,0,1,1,0
4441,Hollywood Lutheran Child Care Center,0,Currently unrated,"1733 N New Hampshire Ave, Los Angeles, CA, 90027",Private,PK,0.0,,Unavailable,Los Angeles,CA,0,0,0,1
4442,Harvard-Westlake School,0,Currently unrated,"700 North Faring Road, Los Angeles, CA, 90077",Private,7-9,1598.0,,Unavailable,Los Angeles,CA,1,1,0,0
4443,"Beverly Christian Academy, Inc.",0,Currently unrated,"224 North Serrano Avenue, Los Angeles, CA, 90004",Private,K,24.0,,Unavailable,Los Angeles,CA,0,0,1,0
4444,Beginning Montessori School,0,Currently unrated,"7475 Fallbrook Avenue, Los Angeles, CA, 91307",Private,PK-K,93.0,,Unavailable,Los Angeles,CA,0,0,1,1
4445,Kindercare Learning Center,0,Currently unrated,"16901 Lassen Street, Los Angeles, CA, 91343",Private,PK-5,73.0,,Unavailable,Los Angeles,CA,0,0,1,1
4446,Cheerful Helpers,0,Currently unrated,"3300 Wilshire Boulevard, Los Angeles, CA, 90010",Private,PK-K,9.0,,Unavailable,Los Angeles,CA,0,0,1,1
4447,New Wave Christian Academy,0,Currently unrated,"1652 West Century Boulevard, Los Angeles, CA, 90047",Private,K-6,0.0,,Unavailable,Los Angeles,CA,0,1,1,0
4448,Child's World School,0,Currently unrated,"6100 Lindley Avenue, Los Angeles, CA, 91316",Private,K-3,40.0,,Unavailable,Los Angeles,CA,0,0,1,0
4449,Young Hollywood School,0,Currently unrated,"1547 North McCadden Place, Los Angeles, CA, 90028",Private,Ungraded,9.0,,Unavailable,Los Angeles,CA,0,0,0,0
4450,Toddler Tech University,0,Currently unrated,"7861 South Normandie Avenue, Los Angeles, CA, 90044",Private,PK-K,42.0,,Unavailable,Los Angeles,CA,0,0,1,1
4451,The Playpen Child Care Center I,0,Currently unrated,"12001 S Main St, Los Angeles, CA, 90061",Private,PK-K,0.0,,Unavailable,Los Angeles,CA,0,0,1,1
4452,Summit View - Westside,0,Currently unrated,"12101 West Washington Boulevard, Los Angeles, CA, 90066",Private,3-12,101.0,,Unavailable,Los Angeles,CA,1,1,1,0
4453,Childs World School,0,Currently unrated,"5414 Capistrano Avenue, Los Angeles, CA, 91367",Private,PK-K,111.0,,Unavailable,Los Angeles,CA,0,0,1,1
4454,Village Glen,0,Currently unrated,"13130 Burbank Boulevard, Los Angeles, CA, 91401",Private,K-12,212.0,,Unavailable,Los Angeles,CA,1,1,1,0
4455,Los Angeles Christian School,0,Currently unrated,"2001 South Vermont Avenue, Los Angeles, CA, 90007",Private,K-8,96.0,,Unavailable,Los Angeles,CA,0,1,1,0
4456,Ateret Israel High School,0,Currently unrated,"1445 South Robertson Boulevard, Los Angeles, CA, 90035",Private,9-12,0.0,,Unavailable,Los Angeles,CA,1,0,0,0
4457,Park Montessori Children's Center,0,Currently unrated,"13130 Herrick Avenue, Los Angeles, CA, 91342",Private,K-2,65.0,,Unavailable,Los Angeles,CA,0,0,1,0
4458,Civerlake Independent Child Care Center,0,Currently unrated,"1110 Bates Avenue, Los Angeles, CA, 90029",Private,PK,0.0,,Unavailable,Los Angeles,CA,0,0,0,1
4459,Ucla Early Care & Education,0,Currently unrated,"3233 South Sepulveda Boulevard, Los Angeles, CA, 90034",Private,PK-K,115.0,,Unavailable,Los Angeles,CA,0,0,1,1
4460,Wagon Wheel School,0,Currently unrated,"653 North Cahuenga Boulevard, Los Angeles, CA, 90004",Private,PK-K,132.0,,Unavailable,Los Angeles,CA,0,0,1,1
4461,Korean Baptist Church School,0,Currently unrated,"975 South Berendo Street, Los Angeles, CA, 90006",Private,K,0.0,,Unavailable,Los Angeles,CA,0,0,1,0
4462,Lumbini Child Development Center,0,Currently unrated,"505 East 3rd Street, Los Angeles, CA, 90013",Private,PK-K,28.0,,Unavailable,Los Angeles,CA,0,0,1,1
4463,St Jeanne De Lestonnac,0,Currently unrated,"4001 Venice Boulevard, Los Angeles, CA, 90019",Private,PK-K,100.0,,Unavailable,Los Angeles,CA,0,0,1,1
4464,Assistance League Of Southern California,0,Currently unrated,"1375 North Saint Andrews Place, Los Angeles, CA, 90028",Private,PK-K,268.0,,Unavailable,Los Angeles,CA,0,0,1,1
4465,Adat Shalom Nursery School,0,Currently unrated,"3030 Westwood Blvd, Los Angeles, CA, 90034",Private,PK,0.0,,Unavailable,Los Angeles,CA,0,0,0,1
4466,Mel-O-Dee Montessori Center,0,Currently unrated,"3659 Motor Avenue, Los Angeles, CA, 90034",Private,PK-K,28.0,,Unavailable,Los Angeles,CA,0,0,1,1
4467,Palms Tiny Tots Pre-School,0,Currently unrated,"3614 Motor Ave, Los Angeles, CA, 90034",Private,PK,0.0,,Unavailable,Los Angeles,CA,0,0,0,1
4468,La Tijera Methodist Children's Center,0,Currently unrated,"7400 Osage Avenue, Los Angeles, CA, 90045",Private,PK-6,0.0,,Unavailable,Los Angeles,CA,0,1,1,1
4469,Aloha Nursery School,0,Currently unrated,"6206 S Wilton Pl, Los Angeles, CA, 90047",Private,PK,0.0,,Unavailable,Los Angeles,CA,0,0,0,1
4470,Yeshiva Ohr Elchonon Chabad,0,Currently unrated,"7215 Waring Avenue, Los Angeles, CA, 90046",Private,9-12,129.0,,Unavailable,Los Angeles,CA,1,0,0,0
4471,Grace Pres Pre-School,0,Currently unrated,"1021 Westside Dr, Los Angeles, CA, 90022",Private,PK,0.0,,Unavailable,Los Angeles,CA,0,0,0,1
4472,Abram Friedman Occupational,0,Currently unrated,"1646 South Olive Street, Los Angeles, CA, 90015",Public district,Ungraded,0.0,,Los Angeles Unified School District,Los Angeles,CA,0,0,0,0
4473,E. Manfred Evans Community Adult,0,Currently unrated,"717 North Figueroa Street, Los Angeles, CA, 90012",Public district,Ungraded,0.0,,Los Angeles Unified School District,Los Angeles,CA,0,0,0,0
4474,Tri-C Community Day School,0,Currently unrated,"716 East 14th Street, Second Floor, Los Angeles, CA, 90021",Public district,7-12,266.0,17:1,Los Angeles Unified School District,Los Angeles,CA,1,1,0,0
4475,Jardin De La Infancia,0,Currently unrated,"307 East Seventh Street, Los Angeles, CA, 90014",Public charter,K-1,35.0,18:1,Los Angeles County Office Of Education School District,Los Angeles,CA,0,0,1,0
4476,East Los Angeles Occupational,0,Currently unrated,"2100 Marengo Street, Los Angeles, CA, 90033",Public district,Ungraded,0.0,,Los Angeles Unified School District,Los Angeles,CA,0,0,0,0
4477,Maple Primary Center,0,Currently unrated,"3601 South Maple Avenue, Los Angeles, CA, 90011",Public district,K-1,193.0,23:1,Los Angeles Unified School District,Los Angeles,CA,0,0,1,0
4478,Olympic Primary Center,0,Currently unrated,"950 South Albany Street, Los Angeles, CA, 90015",Public district,K,164.0,26:1,Los Angeles Unified School District,Los Angeles,CA,0,0,1,0
4479,Lake Street Primary School,0,Currently unrated,"135 North Lake Street, Los Angeles, CA, 90026",Public district,K-1,187.0,26:1,Los Angeles Unified School District,Los Angeles,CA,0,0,1,0
4480,East Los Angeles Skills Center,0,Currently unrated,"3921 Selig Place, Los Angeles, CA, 90031",Public district,Ungraded,0.0,,Los Angeles Unified School District,Los Angeles,CA,0,0,0,0
4481,Maxine Waters Employment Prep Center,0,Currently unrated,"10925 Central Avenue, Los Angeles, CA, 90059",Public district,Ungraded,0.0,,Los Angeles Unified School District,Los Angeles,CA,0,0,0,0
4482,Richard A. Alonzo Community Day School,0,Currently unrated,"5755 Fountain Avenue, Los Angeles, CA, 90028",Public district,7-12,94.0,14:1,Los Angeles Unified School District,Los Angeles,CA,1,1,0,0
4483,Garza (Carmen Lomas) Primary Center,0,Currently unrated,"2750 East Hostetter Street, Los Angeles, CA, 90023",Public district,K-2,115.0,26:1,Los Angeles Unified School District,Los Angeles,CA,0,0,1,0
4484,"Danny J. Bakewell, Sr., Primary Center",0,Currently unrated,"8621 South Baring Cross Street, Los Angeles, CA, 90044",Public district,K,232.0,24:1,Los Angeles Unified School District,Los Angeles,CA,0,0,1,0
4485,Hooper Avenue Primary Center,0,Currently unrated,"1280 East 52nd Street, Los Angeles, CA, 90011",Public district,K,239.0,23:1,Los Angeles Unified School District,Los Angeles,CA,0,0,1,0
4486,Mariposa-Nabi Primary Center,0,Currently unrated,"987 South Mariposa Avenue, Los Angeles, CA, 90006",Public district,K-2,156.0,26:1,Los Angeles Unified School District,Los Angeles,CA,0,0,1,0
4487,Lexington Avenue Primary Center,0,Currently unrated,"4564 West Lexington Avenue, Los Angeles, CA, 90029",Public district,K-2,154.0,23:1,Los Angeles Unified School District,Los Angeles,CA,0,0,1,0
4488,Amanecer Primary Center,0,Currently unrated,"832 South Eastman Avenue, Los Angeles, CA, 90023",Public district,K-2,196.0,23:1,Los Angeles Unified School District,Los Angeles,CA,0,0,1,0
4489,Washington Primary Center School,0,Currently unrated,"860 West 112th Street, Los Angeles, CA, 90044",Public district,K-1,103.0,24:1,Los Angeles Unified School District,Los Angeles,CA,0,0,1,0
4490,CDS Secondary School,0,Currently unrated,"727 South Wilson Street, Los Angeles, CA, 90021",Public district,6-12,36.0,5:1,Los Angeles Unified School District,Los Angeles,CA,1,1,0,0
4491,Sacred Heart High School,0,Currently unrated,"2111 Griffin Avenue, Los Angeles, CA, 90031",Private,9-12,224.0,,Unavailable,Los Angeles,CA,1,0,0,0
4492,Faith Baptist School,0,Currently unrated,"7644 Farralone Avenue, Los Angeles, CA, 91304",Private,K-12,1234.0,,Unavailable,Los Angeles,CA,1,1,1,0
4493,Canoga Park Preschool And Kindergarten,0,Currently unrated,"7839 Topanga Canyon Boulevard, Los Angeles, CA, 91304",Private,K,24.0,,Unavailable,Los Angeles,CA,0,0,1,0
4494,Grace Community School,0,Currently unrated,"13248 Roscoe Boulevard, Los Angeles, CA, 91352",Private,K-9,223.0,,Unavailable,Los Angeles,CA,1,1,1,0
4495,Yeshiva University Of Los Angeles Boys High School,0,Currently unrated,"9760 West Pico Boulevard, Los Angeles, CA, 90035",Private,9-12,170.0,,Unavailable,Los Angeles,CA,1,0,0,0
4496,"Abc Little School, Studio City",0,Currently unrated,"11728 Moorpark Street, Los Angeles, CA, 91604",Private,K,88.0,,Unavailable,Los Angeles,CA,0,0,1,0
4497,Adventures In Learning Chldhd Center,0,Currently unrated,"12111 Balboa Boulevard, Los Angeles, CA, 91344",Private,PK-K,0.0,,Unavailable,Los Angeles,CA,0,0,1,1
4498,Aviva High School,0,Currently unrated,"7120 Franklin Avenue, Los Angeles, CA, 90046",Private,7-12,48.0,,Unavailable,Los Angeles,CA,1,1,0,0
